D_clean,D_fake,D_noisy
-335.605224609375,-337.05255126953125,-525.3768920898438
-267.79132080078125,-245.86105346679688,-674.5870971679688
-424.03265380859375,-381.4742431640625,-1392.6024169921875
-401.24310302734375,-349.9223937988281,-463.15301513671875
-426.71221923828125,-508.0774841308594,-583.0947875976562
-393.03314208984375,-380.9263916015625,-800.8862915039062
-362.0008544921875,-396.9408264160156,-1096.9415283203125
-322.4893798828125,-311.81170654296875,-356.7109069824219
-297.292724609375,-314.9043884277344,-525.18115234375
-127.9593276977539,-137.59475708007812,-455.8553771972656
-282.66595458984375,-369.02020263671875,-1139.955078125
-268.3262634277344,-240.1520233154297,-313.28814697265625
-290.3382568359375,-276.76605224609375,-350.983154296875
-399.81695556640625,-310.2854309082031,-715.8170166015625
-291.206298828125,-362.306396484375,-994.0621948242188
-312.52423095703125,-390.10809326171875,-376.090087890625
-238.9928741455078,-234.86253356933594,-430.98406982421875
-327.6969909667969,-265.0119934082031,-719.4420776367188
-332.0831298828125,-378.8625183105469,-1007.2352905273438
-267.5627136230469,-235.04710388183594,-383.8424987792969
-426.9855651855469,-397.2581787109375,-595.1419067382812
-378.59112548828125,-369.975830078125,-935.3825073242188
-301.3258056640625,-338.518798828125,-1264.7041015625
-399.27154541015625,-374.62689208984375,-485.7642822265625
-332.30816650390625,-325.35089111328125,-507.6440734863281
-368.5966796875,-370.084228515625,-734.0582275390625
-214.2106475830078,-271.4055480957031,-629.2748413085938
-320.9106140136719,-358.6507568359375,-416.342529296875
-328.9720458984375,-417.77288818359375,-553.3565063476562
-305.4566345214844,-333.5387878417969,-835.3676147460938
-284.6109313964844,-331.5455017089844,-1083.2376708984375
-331.78497314453125,-406.8102722167969,-379.8248291015625
-213.446044921875,-199.60975646972656,-440.3729248046875
-356.86053466796875,-324.2467956542969,-577.3170166015625
-221.11380004882812,-264.6647033691406,-1174.19970703125
-278.62060546875,-275.52215576171875,-350.59588623046875
-408.3158874511719,-391.65850830078125,-718.3263549804688
-281.1877746582031,-293.68536376953125,-711.8811645507812
-170.74508666992188,-202.26690673828125,-712.0096435546875
-208.60096740722656,-209.19358825683594,-385.2615966796875
-252.6262969970703,-229.62808227539062,-461.85333251953125
-199.1090850830078,-189.73817443847656,-839.6096801757812
-206.69851684570312,-207.4175262451172,-1141.2821044921875
-187.7740936279297,-190.69349670410156,-259.572998046875
-326.53570556640625,-345.63897705078125,-577.3880615234375
-301.95068359375,-354.24176025390625,-590.7202758789062
-462.3570556640625,-516.1390991210938,-1305.1812744140625
-308.9185791015625,-306.4260559082031,-419.32611083984375
-319.35906982421875,-350.5990905761719,-630.2361450195312
-155.25062561035156,-173.77664184570312,-601.4636840820312
-196.6344757080078,-252.61721801757812,-1157.60595703125
-172.269287109375,-176.3355712890625,-310.7071838378906
-219.34596252441406,-211.03929138183594,-436.1739501953125
-216.1673126220703,-222.1742401123047,-541.3851928710938
-267.75262451171875,-283.1803283691406,-637.6065673828125
-191.53076171875,-210.55738830566406,-312.8612060546875
-202.84117126464844,-199.07937622070312,-385.0391845703125
-225.91725158691406,-259.7606201171875,-476.2812194824219
-374.46417236328125,-392.1623840332031,-1638.93603515625
-580.5083618164062,-524.4810180664062,-668.760498046875
-210.0618133544922,-174.2657928466797,-501.50579833984375
-186.59962463378906,-181.56947326660156,-562.6423950195312
-432.8681335449219,-375.1644287109375,-1384.083740234375
-333.8675842285156,-308.79376220703125,-430.6732177734375
-257.7767333984375,-252.3690948486328,-543.9095458984375
-203.07923889160156,-213.06297302246094,-822.81005859375
-180.1316680908203,-199.17823791503906,-1036.1168212890625
-340.5196533203125,-325.976318359375,-448.0857849121094
-342.6248779296875,-356.426025390625,-553.42236328125
-405.7746276855469,-406.06292724609375,-953.9767456054688
-306.52740478515625,-307.89715576171875,-1226.903076171875
-355.10162353515625,-348.64654541015625,-479.5791931152344
-348.66302490234375,-353.78082275390625,-580.3967895507812
-222.6310272216797,-227.5128936767578,-547.4998168945312
-430.23040771484375,-405.8905029296875,-1014.2347412109375
-182.2119598388672,-182.69468688964844,-293.0383605957031
-239.4353790283203,-236.80467224121094,-459.7294616699219
-360.7244873046875,-336.73822021484375,-870.0519409179688
-299.04156494140625,-341.383056640625,-1022.2184448242188
-250.63438415527344,-235.67596435546875,-417.32720947265625
-301.61590576171875,-285.8330078125,-588.446533203125
-360.77435302734375,-335.08648681640625,-442.8538818359375
-263.70843505859375,-260.60760498046875,-1276.261962890625
-228.1620330810547,-225.45912170410156,-342.829833984375
-240.0662078857422,-317.91949462890625,-404.14361572265625
-246.96701049804688,-240.763916015625,-618.4248657226562
-239.76097106933594,-193.59774780273438,-779.0850219726562
-443.59344482421875,-422.5157470703125,-514.1466674804688
-374.227294921875,-296.6279296875,-556.566650390625
-124.82630157470703,-148.6689453125,-421.007568359375
-200.81402587890625,-245.12416076660156,-1640.4281005859375
-316.7286071777344,-310.04730224609375,-389.6132507324219
-483.5106506347656,-396.79547119140625,-580.8551635742188
-263.2415771484375,-304.94683837890625,-679.6652221679688
-146.0000762939453,-171.91064453125,-813.8287963867188
-208.74295043945312,-217.50570678710938,-319.3553466796875
-296.8860168457031,-302.07525634765625,-466.860107421875
-425.1593017578125,-491.2246398925781,-831.5693969726562
-337.2423095703125,-394.76995849609375,-1169.4219970703125
-361.538330078125,-312.658447265625,-566.2062377929688
-244.43789672851562,-235.0026092529297,-527.0679931640625
-201.0912628173828,-189.17845153808594,-679.680908203125
-205.95529174804688,-199.0063018798828,-808.5352172851562
-286.361328125,-246.01271057128906,-387.55596923828125
-341.257080078125,-275.86102294921875,-502.7879943847656
-307.1114501953125,-321.42620849609375,-634.4020385742188
