D_clean,D_fake,D_noisy
-298.185791015625,-296.7124328613281,-318.109375
-310.9709777832031,-307.27008056640625,-332.2603454589844
-309.6148681640625,-308.93853759765625,-348.565673828125
-305.30279541015625,-306.512451171875,-312.7664489746094
-309.91253662109375,-310.2545166015625,-318.8572692871094
-310.68609619140625,-308.92657470703125,-330.921875
-302.9246826171875,-300.82586669921875,-345.6956481933594
-304.72882080078125,-305.5445556640625,-308.81585693359375
-301.8564147949219,-304.9884338378906,-310.1785888671875
-308.4448547363281,-304.27685546875,-320.11419677734375
-294.8280029296875,-296.60986328125,-342.82928466796875
-312.2842102050781,-307.5037536621094,-314.9344787597656
-310.1424560546875,-312.3775634765625,-321.08978271484375
-302.2352600097656,-306.5460510253906,-339.00091552734375
-297.2048645019531,-304.2647705078125,-338.2738037109375
-320.8583984375,-304.15234375,-324.96575927734375
-312.7626647949219,-312.8968200683594,-321.95989990234375
-307.1250915527344,-310.74298095703125,-330.66448974609375
-310.1865234375,-310.5694580078125,-344.2499694824219
-299.9017333984375,-298.987060546875,-306.71258544921875
-303.03173828125,-303.1997985839844,-316.82470703125
-317.80706787109375,-315.26806640625,-338.0841064453125
-299.2556457519531,-302.70611572265625,-339.2351989746094
-299.6470947265625,-300.5977783203125,-309.9327392578125
-314.803466796875,-315.3337707519531,-326.85894775390625
-309.8516845703125,-314.1612243652344,-337.5959167480469
-304.92559814453125,-308.53985595703125,-345.82330322265625
-304.7357177734375,-304.474609375,-307.9912109375
-311.379150390625,-307.23114013671875,-320.63055419921875
-314.2451171875,-309.54058837890625,-332.0442810058594
-311.7862548828125,-306.84893798828125,-335.42938232421875
-307.8218994140625,-306.52294921875,-313.98797607421875
-314.9829406738281,-312.03668212890625,-323.6414489746094
-313.63885498046875,-312.79443359375,-332.7071533203125
-307.533935546875,-312.2354431152344,-343.05908203125
-311.09759521484375,-307.60833740234375,-315.7339172363281
-311.8663024902344,-318.1974792480469,-319.19891357421875
-312.6760559082031,-315.3878173828125,-330.7674560546875
-308.5325927734375,-323.7127990722656,-355.1652526855469
-302.5567626953125,-306.54010009765625,-307.8222351074219
-308.6468505859375,-307.622314453125,-318.52288818359375
-312.7451171875,-309.730712890625,-338.06256103515625
-300.2641906738281,-299.52374267578125,-337.9251708984375
-299.1248779296875,-299.0298156738281,-308.87274169921875
-293.7271728515625,-296.283447265625,-312.6348876953125
-302.485595703125,-304.5670166015625,-322.6151123046875
-295.9925537109375,-298.9011535644531,-334.2919921875
-301.90185546875,-302.9287109375,-304.1456298828125
-300.806396484375,-301.88067626953125,-312.3109130859375
-308.65911865234375,-308.46832275390625,-316.3065490722656
-315.59991455078125,-317.07720947265625,-330.7607421875
-306.2403869628906,-306.08624267578125,-313.6368408203125
-294.0252380371094,-297.1468505859375,-307.19482421875
-317.29656982421875,-317.053955078125,-336.6983337402344
-313.13818359375,-313.7981872558594,-333.1590576171875
-319.5749206542969,-307.6082763671875,-326.3360290527344
-301.46142578125,-298.852294921875,-314.5755310058594
-308.5181579589844,-309.9684143066406,-324.3362121582031
-308.50177001953125,-313.61102294921875,-344.3772888183594
-314.5294494628906,-315.2209777832031,-319.49493408203125
-312.672119140625,-313.0190124511719,-322.51702880859375
-300.35198974609375,-299.0833740234375,-325.1968688964844
-298.2216796875,-297.7868957519531,-337.036376953125
-302.9586486816406,-302.74993896484375,-311.17279052734375
-308.0791015625,-310.31854248046875,-321.5184326171875
-301.827392578125,-314.30621337890625,-317.414794921875
-297.110107421875,-302.30419921875,-341.9806823730469
-308.3751525878906,-312.66455078125,-313.70794677734375
-296.8626708984375,-296.4636535644531,-307.04254150390625
-312.03509521484375,-311.76531982421875,-329.7975158691406
-308.27520751953125,-308.7169189453125,-326.5510559082031
-307.2495422363281,-306.955810546875,-312.9754638671875
-305.843994140625,-316.689208984375,-320.692138671875
-303.7080078125,-305.87213134765625,-328.54913330078125
-308.06390380859375,-316.4197998046875,-370.2601623535156
-296.9879455566406,-296.232177734375,-305.8262939453125
-317.25665283203125,-317.153564453125,-325.33416748046875
-301.6491394042969,-302.2354736328125,-322.150390625
-311.0654296875,-316.76220703125,-345.5875549316406
-301.0589904785156,-299.69207763671875,-307.6595458984375
-316.1441345214844,-312.7860107421875,-327.7262878417969
-311.6980285644531,-311.99298095703125,-330.44232177734375
-312.033447265625,-309.62799072265625,-352.226806640625
-309.590576171875,-310.8106994628906,-315.5281677246094
-317.81689453125,-319.21502685546875,-330.0435791015625
-311.74755859375,-316.6419677734375,-333.0648498535156
-314.7905578613281,-318.87286376953125,-351.56414794921875
-316.33416748046875,-314.4516906738281,-318.88580322265625
-306.1602478027344,-306.5008850097656,-314.63885498046875
-308.5874938964844,-308.91265869140625,-320.47955322265625
-309.44158935546875,-310.817626953125,-341.17535400390625
-310.593017578125,-308.40093994140625,-313.92608642578125
-314.84375,-313.19097900390625,-321.487548828125
-318.1539611816406,-312.2720031738281,-344.4083251953125
-311.7935791015625,-315.96673583984375,-353.83807373046875
-305.5173034667969,-316.73150634765625,-310.0973815917969
-308.3109130859375,-308.14874267578125,-317.65972900390625
-317.03564453125,-311.8954772949219,-330.0687255859375
-312.994140625,-316.818603515625,-347.887451171875
-313.52716064453125,-315.69390869140625,-318.3859558105469
-306.95147705078125,-308.52679443359375,-318.6356201171875
-309.7236328125,-309.4154357910156,-335.82574462890625
-314.2763366699219,-317.56658935546875,-354.7274169921875
-304.03228759765625,-295.7720947265625,-310.05120849609375
-312.17120361328125,-309.91387939453125,-321.7274475097656
-316.0653076171875,-312.97314453125,-337.4295654296875
-313.322998046875,-314.2568359375,-333.8392333984375
-308.41314697265625,-302.74688720703125,-313.35821533203125
-312.42645263671875,-312.70849609375,-320.0894775390625
-313.91766357421875,-313.1041259765625,-321.9471435546875
-302.4180908203125,-309.42730712890625,-340.7245788574219
-311.894287109375,-316.2583923339844,-317.4649658203125
-295.4757995605469,-296.24981689453125,-317.54071044921875
-309.71697998046875,-307.1228332519531,-322.72235107421875
-302.2390441894531,-307.11956787109375,-364.6355285644531
-311.1120910644531,-313.9527587890625,-314.593017578125
-300.61517333984375,-298.795166015625,-320.1041564941406
-296.9532165527344,-306.8042907714844,-320.736083984375
-312.0816650390625,-315.285888671875,-336.6405944824219
-301.7913513183594,-300.26611328125,-307.27801513671875
-313.9661865234375,-310.6627197265625,-321.79217529296875
-307.09283447265625,-306.4602355957031,-331.7354736328125
-311.3420715332031,-311.9625244140625,-344.0072021484375
-311.1750183105469,-312.362548828125,-315.7325439453125
-314.27978515625,-312.1981201171875,-324.3280029296875
-307.6667175292969,-311.770751953125,-324.36944580078125
-296.17510986328125,-315.49066162109375,-342.3712463378906
-306.72869873046875,-308.35772705078125,-311.585693359375
-311.46734619140625,-308.38800048828125,-317.85003662109375
-305.2200012207031,-305.2551574707031,-319.345458984375
-300.1014709472656,-301.539306640625,-327.42877197265625
-299.172607421875,-299.043212890625,-308.89984130859375
-310.5740966796875,-306.1625061035156,-321.00775146484375
-304.14599609375,-309.02947998046875,-339.30133056640625
-315.4288635253906,-317.9967041015625,-340.4444580078125
-297.24420166015625,-299.48858642578125,-310.08502197265625
-300.64630126953125,-301.6213073730469,-315.45013427734375
-312.808837890625,-316.0570068359375,-334.6952819824219
-283.2840576171875,-296.783203125,-353.263671875
-301.98150634765625,-305.90850830078125,-307.25732421875
-297.12530517578125,-295.671875,-309.22674560546875
-306.47564697265625,-305.207275390625,-321.0543212890625
-309.6086730957031,-308.7985534667969,-346.2967834472656
-304.032958984375,-302.1250305175781,-309.89990234375
-289.42327880859375,-290.349365234375,-305.0109558105469
