epoch,G_fidelity,G_adv,G_loss,D_real,D_fake,D_penalty,D_loss
24,9.832903658,50.71431922,60.54722275,-40.2162712,-50.29582904,1.189158814,-8.890398979
25,10.84814664,56.69988951,67.54803569,-44.18069124,-56.28275337,1.228354582,-10.87370743
26,10.10600977,57.88949242,67.99550209,-44.71604837,-57.30556424,1.464125244,-11.12539069
27,11.05547885,59.23956728,70.29504694,-44.6411696,-58.79388659,1.507623553,-12.64509344
28,9.74416879,54.82457781,64.56874603,-43.61544456,-54.27266436,1.501279036,-9.155940708
29,9.979562487,70.95035001,80.92991189,-57.32415989,-70.1668443,1.521345701,-11.32133865
30,9.640867996,59.8065951,69.44746221,-47.4863033,-59.43339713,1.439896067,-10.50719773
31,9.634084225,60.93155387,70.56563725,-50.65391816,-60.54621707,1.354300154,-8.537998727
32,10.29364688,53.33071524,63.62436206,-41.11919861,-52.87018522,1.338474639,-10.41251189
33,9.917030879,58.93486943,68.85189956,-46.64159788,-58.33749369,1.612877871,-10.08301786
34,9.879896323,61.48267895,71.36257591,-48.32094034,-60.7105559,1.484822897,-10.90479275
35,9.225650549,55.3512555,64.57690634,-44.20654668,-54.8624186,1.599682995,-9.056188822
36,10.73144217,65.56619552,76.29763734,-51.58529243,-65.0380613,1.4471808,-12.00558818
37,9.721475158,48.36710283,58.08857775,-37.71949009,-47.99030025,1.38914603,-8.881664174
38,9.767743145,58.43065521,68.19839818,-48.67349946,-58.16617632,1.236090507,-8.256586432
39,9.663088449,51.84498011,61.50806834,-41.91259492,-51.60781301,1.183041175,-8.512176879
40,10.29288639,54.14951856,64.44240672,-42.76110213,-53.75197342,1.144733625,-9.846137617
41,10.65378386,56.63106925,67.28485336,-42.97105427,-56.14681892,1.322337548,-11.85342712
42,10.29449974,71.27348069,81.56798036,-59.51487964,-70.82597678,1.402238471,-9.908858657
43,10.12746452,52.90345106,63.03091539,-42.49530195,-52.59213686,1.153972677,-8.942862193
44,9.535569634,80.70972599,90.24529593,-69.24775818,-80.23460327,1.482108321,-9.504736781
45,9.690575441,60.84865004,70.53922532,-50.41537541,-60.42217916,1.446226803,-8.560576916
46,10.00093872,62.64514944,72.64608806,-51.31455154,-62.17858607,1.18222243,-9.681812184
47,9.875650533,74.9495602,84.82521019,-62.99570057,-74.52217216,1.471296382,-10.0551753
48,9.80752962,57.93587075,67.7434001,-46.47150115,-57.48822474,1.260277678,-9.756445851
49,9.765650368,62.44733162,72.21298122,-51.94107148,-62.07571475,1.333394925,-8.801248344
50,9.80770295,63.37317743,73.18088,-51.95348208,-62.80003112,1.451629392,-9.394919583
51,10.20742403,62.83063221,73.03805637,-49.75049455,-62.18911525,1.46896186,-10.96965875
52,10.68117113,48.44018437,59.12135547,-35.83265262,-47.98500646,1.227283716,-10.92507022
53,10.02497012,52.57100358,62.59597387,-40.65570886,-52.23717556,1.444348182,-10.13711871
54,10.43887825,55.12007476,65.55895367,-41.3001845,-54.39984763,1.544628072,-11.55503515
55,10.35439982,47.2761566,57.63055645,-35.18493734,-46.77695719,1.53562057,-10.05639931
56,9.885131105,68.80026569,78.68539677,-56.12065353,-68.13064747,1.526786963,-10.48320691
57,10.47742435,58.2894408,68.76686566,-44.27019436,-57.7884483,1.472890973,-12.04536302
58,9.911490186,40.40948682,50.32097718,-29.65072476,-40.0783899,1.322770003,-9.104895242
59,10.02845335,67.81088843,77.83934184,-56.75476463,-67.28786605,1.615885011,-8.917216301
60,10.31754195,57.4920602,67.8096029,-45.25072727,-56.9013759,1.492680641,-10.15796795
61,10.0703049,58.05191244,68.12221759,-47.38996273,-57.79030292,1.397364702,-9.002975498
62,10.03581047,64.40064853,74.43645736,-53.46559198,-64.10723032,1.237185559,-9.404452767
63,9.719337877,56.75772336,66.47706146,-46.1690066,-56.35777702,1.157624086,-9.031146351
64,10.18920578,69.89486647,80.08407239,-57.72013728,-69.43974822,1.505235348,-10.21437556
65,9.849745051,66.19695358,76.04669876,-57.02160288,-66.02272415,1.118965356,-7.882155927
66,9.60424212,63.63654453,73.24078682,-53.75661602,-63.42660522,1.136337663,-8.53365142
