SI-SNR,DNSMOS,MOS Squim,eSTOI,PESQ,PESQ Torch,STOI pred,PESQ pred,SI-SDR pred
Mean scores
0.0,2.982284,0.0,0.0,0.0,0.0,nan,nan,nan
Standard errors of the means
0.0,0.009954352898655174,0.0,0.0,0.0,0.0,nan,nan,nan
All Scores
0,3.0676632,0,0,0,0,0,0,0
0,3.116007,0,0,0,0,0,0,0
0,3.0332778,0,0,0,0,0,0,0
0,3.099128,0,0,0,0,0,0,0
0,2.8206952,0,0,0,0,0,0,0
0,3.0677743,0,0,0,0,0,0,0
0,2.8096583,0,0,0,0,0,0,0
0,3.5144024,0,0,0,0,0,0,0
0,2.5044262,0,0,0,0,0,0,0
0,2.7771976,0,0,0,0,0,0,0
0,2.5531576,0,0,0,0,0,0,0
0,2.8793871,0,0,0,0,0,0,0
0,3.274458,0,0,0,0,0,0,0
0,3.3880498,0,0,0,0,0,0,0
0,3.4662287,0,0,0,0,0,0,0
0,2.9312534,0,0,0,0,0,0,0
0,3.0067158,0,0,0,0,0,0,0
0,2.5556,0,0,0,0,0,0,0
0,3.3134446,0,0,0,0,0,0,0
0,2.8564441,0,0,0,0,0,0,0
0,2.5673041,0,0,0,0,0,0,0
0,3.1798732,0,0,0,0,0,0,0
0,3.0954888,0,0,0,0,0,0,0
0,2.5574934,0,0,0,0,0,0,0
0,2.6306365,0,0,0,0,0,0,0
0,3.3427532,0,0,0,0,0,0,0
0,2.82812,0,0,0,0,0,0,0
0,2.719734,0,0,0,0,0,0,0
0,2.8776906,0,0,0,0,0,0,0
0,3.2258275,0,0,0,0,0,0,0
0,2.7053745,0,0,0,0,0,0,0
0,2.7101586,0,0,0,0,0,0,0
0,2.9310873,0,0,0,0,0,0,0
0,3.357273,0,0,0,0,0,0,0
0,3.277557,0,0,0,0,0,0,0
0,3.148914,0,0,0,0,0,0,0
0,3.2408593,0,0,0,0,0,0,0
0,3.135733,0,0,0,0,0,0,0
0,2.9796708,0,0,0,0,0,0,0
0,3.547098,0,0,0,0,0,0,0
0,2.52716,0,0,0,0,0,0,0
0,2.9408584,0,0,0,0,0,0,0
0,3.0310042,0,0,0,0,0,0,0
0,3.1879466,0,0,0,0,0,0,0
0,3.326996,0,0,0,0,0,0,0
0,2.8224542,0,0,0,0,0,0,0
0,2.8689885,0,0,0,0,0,0,0
0,2.6987922,0,0,0,0,0,0,0
0,3.1592586,0,0,0,0,0,0,0
0,3.0549772,0,0,0,0,0,0,0
0,2.3243043,0,0,0,0,0,0,0
0,2.7544973,0,0,0,0,0,0,0
0,2.8709261,0,0,0,0,0,0,0
0,2.7796154,0,0,0,0,0,0,0
0,3.003636,0,0,0,0,0,0,0
0,3.5684369,0,0,0,0,0,0,0
0,2.84549,0,0,0,0,0,0,0
0,2.454515,0,0,0,0,0,0,0
0,3.495623,0,0,0,0,0,0,0
0,2.582809,0,0,0,0,0,0,0
0,3.1542478,0,0,0,0,0,0,0
0,3.3947186,0,0,0,0,0,0,0
0,3.1433105,0,0,0,0,0,0,0
0,3.2366846,0,0,0,0,0,0,0
0,2.9737954,0,0,0,0,0,0,0
0,2.935053,0,0,0,0,0,0,0
0,2.7915359,0,0,0,0,0,0,0
0,3.3688722,0,0,0,0,0,0,0
0,3.3366475,0,0,0,0,0,0,0
0,2.554861,0,0,0,0,0,0,0
0,2.928224,0,0,0,0,0,0,0
0,3.3788545,0,0,0,0,0,0,0
0,3.6505399,0,0,0,0,0,0,0
0,3.2392411,0,0,0,0,0,0,0
0,2.4100053,0,0,0,0,0,0,0
0,3.1519558,0,0,0,0,0,0,0
0,2.8613873,0,0,0,0,0,0,0
0,2.5818732,0,0,0,0,0,0,0
0,3.3762686,0,0,0,0,0,0,0
0,2.7602189,0,0,0,0,0,0,0
0,2.9986956,0,0,0,0,0,0,0
0,3.249228,0,0,0,0,0,0,0
0,2.7440655,0,0,0,0,0,0,0
0,2.9603698,0,0,0,0,0,0,0
0,2.907457,0,0,0,0,0,0,0
0,2.9816725,0,0,0,0,0,0,0
0,3.359981,0,0,0,0,0,0,0
0,2.9226646,0,0,0,0,0,0,0
0,2.827574,0,0,0,0,0,0,0
0,2.9413245,0,0,0,0,0,0,0
0,3.5433342,0,0,0,0,0,0,0
0,3.0341592,0,0,0,0,0,0,0
0,3.0110781,0,0,0,0,0,0,0
