"epoch","22/05 16:52:25 Finetune_12_speakers - _step","22/05 16:52:25 Finetune_12_speakers - _step__MIN","22/05 16:52:25 Finetune_12_speakers - _step__MAX","22/05 16:52:25 Finetune_12_speakers - SI-SNR","22/05 16:52:25 Finetune_12_speakers - SI-SNR__MIN","22/05 16:52:25 Finetune_12_speakers - SI-SNR__MAX","19/05 14:51:16 Finetune_5_speakers G - _step","19/05 14:51:16 Finetune_5_speakers G - _step__MIN","19/05 14:51:16 Finetune_5_speakers G - _step__MAX","19/05 14:51:16 Finetune_5_speakers G - SI-SNR","19/05 14:51:16 Finetune_5_speakers G - SI-SNR__MIN","19/05 14:51:16 Finetune_5_speakers G - SI-SNR__MAX","19/05 14:49:22 Finetune_3_speakers G - _step","19/05 14:49:22 Finetune_3_speakers G - _step__MIN","19/05 14:49:22 Finetune_3_speakers G - _step__MAX","19/05 14:49:22 Finetune_3_speakers G - SI-SNR","19/05 14:49:22 Finetune_3_speakers G - SI-SNR__MIN","19/05 14:49:22 Finetune_3_speakers G - SI-SNR__MAX","19/05 14:39:01 Finetune_1_speakers G - _step","19/05 14:39:01 Finetune_1_speakers G - _step__MIN","19/05 14:39:01 Finetune_1_speakers G - _step__MAX","19/05 14:39:01 Finetune_1_speakers G - SI-SNR","19/05 14:39:01 Finetune_1_speakers G - SI-SNR__MIN","19/05 14:39:01 Finetune_1_speakers G - SI-SNR__MAX"
"918","56","56","56","18.674972534179688","18.674972534179688","18.674972534179688","230","230","230","17.72455596923828","17.72455596923828","17.72455596923828","230","230","230","16.383089065551758","16.383089065551758","16.383089065551758","230","230","230","16.367185592651367","16.367185592651367","16.367185592651367"
"919","58","58","58","18.811872482299805","18.811872482299805","18.811872482299805","238","238","238","17.567155838012695","17.567155838012695","17.567155838012695","238","238","238","16.710351943969727","16.710351943969727","16.710351943969727","238","238","238","16.15401840209961","16.15401840209961","16.15401840209961"
"920","60","60","60","18.795862197875977","18.795862197875977","18.795862197875977","246","246","246","17.8277530670166","17.8277530670166","17.8277530670166","246","246","246","16.95785140991211","16.95785140991211","16.95785140991211","246","246","246","15.867070198059082","15.867070198059082","15.867070198059082"
"921","62","62","62","18.84079933166504","18.84079933166504","18.84079933166504","254","254","254","17.89832878112793","17.89832878112793","17.89832878112793","254","254","254","16.595720291137695","16.595720291137695","16.595720291137695","254","254","254","15.669366836547852","15.669366836547852","15.669366836547852"
"922","64","64","64","18.771791458129883","18.771791458129883","18.771791458129883","262","262","262","17.99703025817871","17.99703025817871","17.99703025817871","262","262","262","16.59089469909668","16.59089469909668","16.59089469909668","262","262","262","15.714628219604492","15.714628219604492","15.714628219604492"
"923","66","66","66","18.645185470581055","18.645185470581055","18.645185470581055","270","270","270","17.976045608520508","17.976045608520508","17.976045608520508","270","270","270","17.075925827026367","17.075925827026367","17.075925827026367","270","270","270","15.647895812988281","15.647895812988281","15.647895812988281"
"924","68","68","68","18.840890884399414","18.840890884399414","18.840890884399414","278","278","278","17.817182540893555","17.817182540893555","17.817182540893555","278","278","278","16.61332130432129","16.61332130432129","16.61332130432129","278","278","278","15.833736419677734","15.833736419677734","15.833736419677734"
"925","70","70","70","18.807632446289062","18.807632446289062","18.807632446289062","286","286","286","17.798343658447266","17.798343658447266","17.798343658447266","286","286","286","16.2030086517334","16.2030086517334","16.2030086517334","286","286","286","15.90472412109375","15.90472412109375","15.90472412109375"
"926","72","72","72","18.779544830322266","18.779544830322266","18.779544830322266","294","294","294","17.921897888183594","17.921897888183594","17.921897888183594","294","294","294","16.447296142578125","16.447296142578125","16.447296142578125","294","294","294","15.909860610961914","15.909860610961914","15.909860610961914"
"927","74","74","74","18.87531089782715","18.87531089782715","18.87531089782715","302","302","302","17.897220611572266","17.897220611572266","17.897220611572266","302","302","302","16.576324462890625","16.576324462890625","16.576324462890625","302","302","302","15.81394100189209","15.81394100189209","15.81394100189209"
