SI-SNR,DNSMOS,MOS Squim,eSTOI,PESQ,PESQ Torch,STOI pred,PESQ pred,SI-SDR pred
Mean scores
0.0,0.0,3.6469974181168308,0.0,0.0,0.0,0.0,0.0,0.0
SE of the means
0.0,0.0,0.0072017856847729185,0.0,0.0,0.0,0.0,0.0,0.0
All Scores
0,0,3.2104063034057617,0,0,0,0,0,0
0,0,2.8741376399993896,0,0,0,0,0,0
0,0,2.493957996368408,0,0,0,0,0,0
0,0,4.59124755859375,0,0,0,0,0,0
0,0,4.380832195281982,0,0,0,0,0,0
0,0,3.6320383548736572,0,0,0,0,0,0
0,0,4.118056297302246,0,0,0,0,0,0
0,0,3.642491340637207,0,0,0,0,0,0
0,0,4.11477518081665,0,0,0,0,0,0
0,0,2.579862117767334,0,0,0,0,0,0
0,0,4.994803428649902,0,0,0,0,0,0
0,0,2.16298770904541,0,0,0,0,0,0
0,0,4.008155345916748,0,0,0,0,0,0
0,0,3.1325502395629883,0,0,0,0,0,0
0,0,4.470555305480957,0,0,0,0,0,0
0,0,4.326170444488525,0,0,0,0,0,0
0,0,3.4791805744171143,0,0,0,0,0,0
0,0,4.198022842407227,0,0,0,0,0,0
0,0,3.419250965118408,0,0,0,0,0,0
0,0,2.2361769676208496,0,0,0,0,0,0
0,0,4.229696750640869,0,0,0,0,0,0
0,0,2.3138349056243896,0,0,0,0,0,0
0,0,4.25274133682251,0,0,0,0,0,0
0,0,3.7719011306762695,0,0,0,0,0,0
0,0,3.1668894290924072,0,0,0,0,0,0
0,0,4.187774658203125,0,0,0,0,0,0
0,0,4.336338996887207,0,0,0,0,0,0
0,0,2.67374587059021,0,0,0,0,0,0
0,0,4.273501873016357,0,0,0,0,0,0
0,0,2.9370768070220947,0,0,0,0,0,0
0,0,2.5734126567840576,0,0,0,0,0,0
0,0,4.156679630279541,0,0,0,0,0,0
0,0,2.776252508163452,0,0,0,0,0,0
0,0,2.896146059036255,0,0,0,0,0,0
0,0,2.5050899982452393,0,0,0,0,0,0
0,0,3.9477806091308594,0,0,0,0,0,0
0,0,2.0469789505004883,0,0,0,0,0,0
0,0,2.2489588260650635,0,0,0,0,0,0
0,0,2.548262119293213,0,0,0,0,0,0
0,0,4.410274028778076,0,0,0,0,0,0
0,0,2.038407325744629,0,0,0,0,0,0
0,0,2.9938650131225586,0,0,0,0,0,0
0,0,2.2334628105163574,0,0,0,0,0,0
0,0,4.164180755615234,0,0,0,0,0,0
0,0,2.54624605178833,0,0,0,0,0,0
0,0,4.466297149658203,0,0,0,0,0,0
0,0,4.3424224853515625,0,0,0,0,0,0
0,0,2.8560779094696045,0,0,0,0,0,0
0,0,3.071533203125,0,0,0,0,0,0
0,0,3.0930099487304688,0,0,0,0,0,0
0,0,4.2685441970825195,0,0,0,0,0,0
0,0,3.995944023132324,0,0,0,0,0,0
0,0,2.289792776107788,0,0,0,0,0,0
0,0,2.5465962886810303,0,0,0,0,0,0
0,0,3.2555153369903564,0,0,0,0,0,0
0,0,4.490067005157471,0,0,0,0,0,0
0,0,3.0309200286865234,0,0,0,0,0,0
0,0,2.601348400115967,0,0,0,0,0,0
0,0,2.2203478813171387,0,0,0,0,0,0
0,0,2.810088872909546,0,0,0,0,0,0
0,0,2.9990317821502686,0,0,0,0,0,0
0,0,4.337519645690918,0,0,0,0,0,0
0,0,4.62752628326416,0,0,0,0,0,0
0,0,4.47367000579834,0,0,0,0,0,0
0,0,3.5785064697265625,0,0,0,0,0,0
0,0,3.1393823623657227,0,0,0,0,0,0
0,0,4.208826065063477,0,0,0,0,0,0
0,0,3.064760684967041,0,0,0,0,0,0
0,0,3.549769878387451,0,0,0,0,0,0
0,0,2.059389114379883,0,0,0,0,0,0
0,0,2.9137415885925293,0,0,0,0,0,0
0,0,3.408886194229126,0,0,0,0,0,0
0,0,2.1588945388793945,0,0,0,0,0,0
0,0,2.062708854675293,0,0,0,0,0,0
0,0,4.994164943695068,0,0,0,0,0,0
0,0,2.1696436405181885,0,0,0,0,0,0
