D_clean,D_fake,D_noisy
-344.4625549316406,-357.87701416015625,-463.6971435546875
-332.88470458984375,-311.49072265625,-480.3863525390625
-209.3318328857422,-258.8297424316406,-657.7732543945312
-324.32427978515625,-346.83673095703125,-1033.4931640625
-278.89813232421875,-267.40185546875,-405.87371826171875
-360.7099914550781,-350.1715087890625,-580.6500244140625
-297.2435302734375,-322.67169189453125,-687.9163818359375
-326.62060546875,-367.87384033203125,-640.6029663085938
-288.5554504394531,-278.4105224609375,-360.71630859375
-384.1812744140625,-345.916748046875,-526.0723266601562
-133.86114501953125,-155.16554260253906,-403.4425354003906
-316.2244873046875,-360.64703369140625,-957.9166259765625
-442.07855224609375,-400.2845458984375,-530.9855346679688
-254.2833709716797,-262.9664001464844,-690.4611206054688
-349.644287109375,-340.8304138183594,-924.2487182617188
-386.02484130859375,-403.8685302734375,-1404.0552978515625
-169.31565856933594,-165.66636657714844,-250.93580627441406
-376.51019287109375,-348.92010498046875,-586.4662475585938
-342.6299743652344,-323.5870361328125,-692.7685546875
-350.25921630859375,-366.65277099609375,-1171.6856689453125
-220.97718811035156,-214.25205993652344,-308.6336669921875
-318.5867004394531,-308.7090759277344,-586.0406494140625
-204.53248596191406,-225.68788146972656,-592.529296875
-326.9154052734375,-425.00933837890625,-1555.49951171875
-268.4385681152344,-250.09291076660156,-340.2725830078125
-298.4808654785156,-285.9205322265625,-382.5673828125
-231.26661682128906,-260.93658447265625,-593.1834716796875
-272.50189208984375,-336.10052490234375,-1147.541015625
-412.7445373535156,-394.29974365234375,-482.34588623046875
-355.3050537109375,-337.67193603515625,-508.6951904296875
-203.88758850097656,-225.41053771972656,-635.8607788085938
-351.49591064453125,-391.5420837402344,-1031.3675537109375
-235.22174072265625,-224.19764709472656,-388.62109375
-372.0260925292969,-348.37646484375,-664.3408813476562
-395.6111145019531,-373.93157958984375,-827.9414672851562
-222.0166473388672,-317.20855712890625,-1204.892822265625
-213.7056427001953,-233.5541229248047,-340.29486083984375
-503.8228759765625,-456.75518798828125,-704.23388671875
-440.21331787109375,-429.5406188964844,-788.2035522460938
-236.99746704101562,-297.3459167480469,-1051.31689453125
-178.69049072265625,-188.00889587402344,-287.8421936035156
-280.06829833984375,-273.20086669921875,-517.4097900390625
-456.5003662109375,-425.01678466796875,-877.3573608398438
-373.19659423828125,-434.8031311035156,-1316.5108642578125
-230.01600646972656,-216.2429962158203,-314.08892822265625
-449.36376953125,-422.67633056640625,-710.7767944335938
-199.4342041015625,-229.47032165527344,-506.0109558105469
-191.42665100097656,-250.76512145996094,-844.6397094726562
-385.88238525390625,-363.2413024902344,-455.82830810546875
-326.4900817871094,-304.9063720703125,-484.11376953125
-278.0438232421875,-294.4359436035156,-644.019775390625
-261.4228515625,-348.1485595703125,-925.791748046875
-321.7639465332031,-294.7259521484375,-441.47900390625
-207.34779357910156,-204.68942260742188,-474.732666015625
-392.03814697265625,-391.1069641113281,-1010.5913696289062
-210.79566955566406,-302.31494140625,-1325.5732421875
-230.5112762451172,-216.825439453125,-410.0538635253906
-244.44642639160156,-262.7684326171875,-559.6564331054688
-182.5939483642578,-207.9945831298828,-597.3692016601562
-169.1933135986328,-249.06117248535156,-1095.6884765625
-251.0173797607422,-257.78485107421875,-376.533935546875
-250.89759826660156,-255.20648193359375,-507.52923583984375
-200.67173767089844,-233.64149475097656,-521.4974975585938
-309.7403564453125,-355.30718994140625,-975.361572265625
-209.2238311767578,-202.53338623046875,-310.61181640625
-289.1440124511719,-295.0421142578125,-603.7106323242188
-283.97027587890625,-274.49945068359375,-575.6932373046875
-218.59007263183594,-239.2869415283203,-626.065673828125
-449.6123046875,-405.31610107421875,-498.9512023925781
-419.1067199707031,-413.98681640625,-588.838134765625
-182.3004608154297,-193.7018585205078,-472.02313232421875
-177.51280212402344,-283.4935302734375,-1079.3321533203125
-310.4676818847656,-280.63958740234375,-402.13995361328125
-316.06622314453125,-293.24737548828125,-529.9264526367188
-211.6998748779297,-236.687255859375,-859.6821899414062
-228.80630493164062,-324.70623779296875,-1214.2352294921875
-297.5771179199219,-282.6038818359375,-395.1966247558594
-369.5544738769531,-355.025390625,-575.791259765625
-324.3638000488281,-311.7059631347656,-686.22021484375
-213.0414276123047,-307.2211608886719,-1308.58251953125
-385.57476806640625,-359.8903503417969,-541.2891845703125
-200.15362548828125,-229.07847595214844,-542.3255615234375
-383.4250793457031,-379.751220703125,-943.7492065429688
-219.09165954589844,-299.3486633300781,-1008.2365112304688
-135.57562255859375,-131.3880157470703,-191.57798767089844
-424.5611572265625,-396.4591369628906,-705.28662109375
-154.60467529296875,-193.7538604736328,-540.3922729492188
-193.62071228027344,-253.7417449951172,-892.2588500976562
-315.1348876953125,-305.1025390625,-447.66802978515625
-368.14849853515625,-350.05859375,-507.8455505371094
-273.8493957519531,-294.2606201171875,-806.9925537109375
-312.2430114746094,-381.45526123046875,-1125.0345458984375
-221.02679443359375,-213.28269958496094,-401.7540283203125
-379.578857421875,-343.7568359375,-590.583740234375
-250.6219024658203,-254.1663360595703,-661.6563110351562
-335.2138366699219,-398.0464782714844,-1351.4521484375
-416.1441955566406,-371.02349853515625,-471.4483642578125
-416.94586181640625,-395.89910888671875,-625.5018310546875
-338.1255187988281,-326.2896423339844,-753.365966796875
-379.54656982421875,-395.4097900390625,-1193.9345703125
-314.7696533203125,-284.2379150390625,-336.4189453125
-298.3447265625,-306.5576171875,-527.6083374023438
-127.9593276977539,-149.6876983642578,-455.8553771972656
-344.4443359375,-422.3453369140625,-1258.5927734375
-148.89125061035156,-166.5271453857422,-264.4556884765625
-219.5926055908203,-210.09280395507812,-309.19000244140625
-423.9576110839844,-401.50531005859375,-722.30322265625
-371.4888916015625,-399.343505859375,-919.4832153320312
-423.3819885253906,-387.91412353515625,-460.867919921875
-238.99282836914062,-226.8211212158203,-430.98406982421875
-326.999755859375,-290.6783752441406,-712.439208984375
-341.7672119140625,-370.34149169921875,-1027.883056640625
-268.6128234863281,-231.57017517089844,-384.164306640625
-427.79705810546875,-390.2693176269531,-586.9032592773438
-315.2834167480469,-303.31805419921875,-799.5863647460938
-285.428466796875,-324.912353515625,-1137.94482421875
-405.97442626953125,-375.5009765625,-487.5452880859375
-330.55804443359375,-320.9578857421875,-512.9735717773438
-424.6498107910156,-400.04571533203125,-790.2054443359375
-251.40052795410156,-260.3743896484375,-660.1654052734375
-392.9098815917969,-367.69403076171875,-482.23406982421875
-319.0096435546875,-304.1080322265625,-554.6978759765625
-297.37115478515625,-333.8091125488281,-808.4406127929688
-300.1925964355469,-378.760498046875,-1093.9561767578125
-376.84149169921875,-349.6568603515625,-423.52655029296875
-213.44606018066406,-211.52157592773438,-440.3729248046875
-349.3580322265625,-320.2880859375,-571.4865112304688
-221.11378479003906,-325.60162353515625,-1174.19970703125
-279.22247314453125,-260.28973388671875,-351.5442199707031
-410.2130432128906,-398.09124755859375,-708.2644653320312
-275.0478210449219,-299.835693359375,-709.9577026367188
-171.32373046875,-225.4059295654297,-717.7360229492188
-208.60096740722656,-211.12391662597656,-385.2615966796875
-218.95130920410156,-210.7046661376953,-422.47509765625
-199.1090850830078,-244.8859405517578,-839.609619140625
-206.45079040527344,-302.2509765625,-1140.6046142578125
-178.86962890625,-168.2639923095703,-244.86965942382812
-303.7464294433594,-287.8773193359375,-484.175048828125
-334.2164611816406,-319.15875244140625,-647.5885620117188
-505.791259765625,-520.4356689453125,-1355.2056884765625
-310.75213623046875,-292.60174560546875,-419.4678649902344
-331.9199523925781,-356.4892883300781,-633.5973510742188
-155.25062561035156,-198.10104370117188,-601.463623046875
-196.63446044921875,-306.5531005859375,-1157.6058349609375
-172.269287109375,-173.76734924316406,-310.7071838378906
-216.50694274902344,-210.57981872558594,-436.8343811035156
-216.1672821044922,-234.91268920898438,-541.3851928710938
-274.85205078125,-296.5953369140625,-661.4010620117188
-191.53074645996094,-203.30393981933594,-312.86114501953125
-202.84117126464844,-200.10040283203125,-385.0391845703125
-232.59619140625,-254.94398498535156,-481.3780517578125
-377.0064697265625,-466.81683349609375,-1634.4359130859375
-539.710693359375,-498.32550048828125,-622.2506103515625
-210.0618133544922,-187.7045440673828,-501.50579833984375
-187.14845275878906,-204.00595092773438,-562.9716186523438
-327.86224365234375,-390.75433349609375,-1428.95703125
-330.73468017578125,-305.37969970703125,-423.7039794921875
-257.7767333984375,-257.9737548828125,-543.9094848632812
-203.0792236328125,-247.0155792236328,-822.8099975585938
-180.1316375732422,-260.0244140625,-1036.11669921875
-319.97747802734375,-303.7327880859375,-426.6903991699219
-285.5832824707031,-289.7044677734375,-518.9949951171875
-409.4261779785156,-417.42156982421875,-964.2446899414062
-306.5273742675781,-366.9129333496094,-1226.903076171875
-307.5109558105469,-302.12518310546875,-450.0076599121094
-348.9050598144531,-347.16583251953125,-579.8091430664062
-229.8478546142578,-242.45420837402344,-551.7738647460938
-340.445068359375,-378.2261047363281,-996.0553588867188
-182.2119598388672,-177.67701721191406,-293.038330078125
-239.4353485107422,-235.49891662597656,-459.72943115234375
-363.49517822265625,-395.0066833496094,-881.6511840820312
-364.569580078125,-412.16845703125,-1043.75732421875
-250.63436889648438,-237.75677490234375,-417.32720947265625
-306.1930236816406,-290.5813293457031,-571.8997192382812
-355.43243408203125,-334.68804931640625,-414.1407470703125
-268.4456787109375,-342.2357177734375,-1285.406982421875
-228.1619873046875,-214.21319580078125,-342.829833984375
-263.89556884765625,-247.28811645507812,-428.20574951171875
-247.0077667236328,-250.09368896484375,-619.7960815429688
-245.87168884277344,-263.5404052734375,-775.345703125
-362.48419189453125,-337.4499816894531,-443.9817199707031
-337.48321533203125,-273.0509033203125,-528.6384887695312
-124.82630157470703,-156.3782501220703,-421.007568359375
-200.8140106201172,-365.17498779296875,-1640.4281005859375
-311.07196044921875,-299.8034362792969,-382.8650817871094
-347.5779724121094,-338.32354736328125,-483.9314270019531
-314.23260498046875,-311.5888671875,-758.3641967773438
-146.00006103515625,-222.9165496826172,-813.8287353515625
-208.74293518066406,-202.99827575683594,-319.3553466796875
-352.9008483886719,-326.2545471191406,-515.2324829101562
-455.5103759765625,-446.2977294921875,-869.1305541992188
-345.4354553222656,-377.01007080078125,-1179.619873046875
-332.18231201171875,-308.5262145996094,-528.0068359375
-244.43788146972656,-238.13214111328125,-527.0679321289062
-201.0912628173828,-228.60206604003906,-679.6808471679688
-192.13807678222656,-230.4272003173828,-751.9511108398438
-286.3612976074219,-240.07200622558594,-387.55596923828125
-321.3167724609375,-298.76129150390625,-492.10064697265625
-305.0136413574219,-304.8771057128906,-636.933837890625
-313.93402099609375,-346.55511474609375,-1067.497802734375
-236.95599365234375,-235.95399475097656,-379.63720703125
-222.93812561035156,-268.39434814453125,-540.969482421875
-389.62408447265625,-373.14508056640625,-699.2969970703125
-139.65692138671875,-205.8467559814453,-716.8482055664062
-233.1285858154297,-217.06515502929688,-277.7170104980469
-367.00152587890625,-353.87261962890625,-520.593505859375
-525.385009765625,-492.81988525390625,-1028.845703125
-385.31353759765625,-431.18988037109375,-1536.306884765625
-270.61181640625,-291.08612060546875,-364.38543701171875
-235.09066772460938,-263.1175842285156,-508.10693359375
-272.30877685546875,-271.5191345214844,-720.2146606445312
-418.5820617675781,-428.962890625,-1290.88037109375
-214.14906311035156,-208.7825469970703,-390.0029602050781
-153.02764892578125,-164.06675720214844,-368.79669189453125
-507.26898193359375,-474.63427734375,-1004.6920776367188
-379.29119873046875,-379.30816650390625,-1070.699951171875
-294.9221496582031,-282.40118408203125,-380.6563720703125
-322.89508056640625,-298.35888671875,-498.7629089355469
-256.1605224609375,-254.62179565429688,-530.8812866210938
-370.37799072265625,-378.4010925292969,-1069.0750732421875
-371.1133117675781,-340.8392639160156,-471.42022705078125
-444.4423828125,-415.37066650390625,-585.5955200195312
-370.7589111328125,-379.740966796875,-1027.16162109375
-226.07958984375,-285.509765625,-1034.2042236328125
-151.5076446533203,-163.98170471191406,-252.1611785888672
-283.1731872558594,-263.5169982910156,-517.0296020507812
-277.6199951171875,-317.9803466796875,-795.78076171875
-333.7762451171875,-384.3348388671875,-1000.3914184570312
-323.84783935546875,-296.5935974121094,-363.4415283203125
-409.56646728515625,-380.87744140625,-579.0416870117188
-245.6328887939453,-269.93548583984375,-621.0753784179688
-279.815185546875,-356.5003662109375,-1260.2288818359375
-194.067626953125,-187.9223175048828,-311.23443603515625
-337.04302978515625,-314.8301086425781,-609.3053588867188
-212.29107666015625,-219.68141174316406,-550.6672973632812
-278.47186279296875,-328.98370361328125,-1206.347900390625
-283.2868347167969,-268.4255676269531,-391.7154541015625
-293.8516845703125,-280.41156005859375,-514.8192749023438
-394.760498046875,-380.38348388671875,-811.0447387695312
-401.32470703125,-450.5473327636719,-1557.205322265625
-273.94720458984375,-249.69293212890625,-341.43365478515625
-311.338623046875,-340.78106689453125,-899.3302612304688
-245.23727416992188,-250.17613220214844,-422.5445861816406
-235.458251953125,-220.78782653808594,-338.1496887207031
-367.5455017089844,-341.0303649902344,-608.7753295898438
-211.4189910888672,-358.62506103515625,-1221.61962890625
-307.33184814453125,-355.575927734375,-1182.646240234375
-459.8011474609375,-427.5635986328125,-996.3756713867188
-217.1386260986328,-205.89456176757812,-361.65753173828125
-471.80816650390625,-431.8858642578125,-560.1886596679688
-246.924072265625,-238.2438507080078,-488.93634033203125
-249.05421447753906,-335.3023681640625,-1315.42724609375
-275.56622314453125,-329.0886535644531,-940.9517211914062
-348.69146728515625,-238.80189514160156,-410.88067626953125
-323.2265625,-280.96197509765625,-440.932861328125
-313.997802734375,-289.39520263671875,-447.8245849609375
-219.3827667236328,-282.77337646484375,-789.1546630859375
-210.00697326660156,-182.91822814941406,-232.79444885253906
-240.8446502685547,-220.99778747558594,-344.1942443847656
-332.3890380859375,-308.7918701171875,-609.4418334960938
-337.67987060546875,-409.92041015625,-1098.0361328125
-271.9111328125,-252.09420776367188,-385.811767578125
-210.82737731933594,-189.46949768066406,-278.398681640625
-237.18875122070312,-236.4137420654297,-537.600830078125
-316.9338073730469,-346.9186096191406,-946.3992309570312
-343.65631103515625,-310.41668701171875,-438.984375
-266.3102111816406,-240.48394775390625,-455.653564453125
-182.9011993408203,-176.35501098632812,-415.0224914550781
-196.82962036132812,-227.5029296875,-676.5916137695312
-224.30844116210938,-198.45811462402344,-251.1139678955078
-179.6856231689453,-173.13905334472656,-285.7539367675781
-278.4579772949219,-261.7884216308594,-512.0353393554688
-200.641845703125,-241.771484375,-695.6925659179688
-276.1943054199219,-252.0003662109375,-293.4137268066406
-317.37860107421875,-296.03704833984375,-493.637451171875
-272.6365661621094,-285.32965087890625,-590.9745483398438
-203.39527893066406,-238.9920654296875,-742.611083984375
-350.72509765625,-310.8232727050781,-428.44061279296875
-263.0764465332031,-233.19595336914062,-417.70245361328125
-166.9153289794922,-167.63185119628906,-438.13885498046875
-218.4410858154297,-264.0394287109375,-713.2645874023438
-218.97637939453125,-179.45123291015625,-282.0330810546875
-149.48736572265625,-128.8478546142578,-225.5992889404297
-141.0569305419922,-148.2686004638672,-334.54052734375
-185.2808380126953,-250.37283325195312,-819.1226806640625
-203.9617156982422,-183.4398956298828,-275.3472900390625
-198.35765075683594,-155.96896362304688,-448.2210693359375
-242.628173828125,-218.7242889404297,-742.4539184570312
-265.16400146484375,-274.6552429199219,-954.6001586914062
-257.32012939453125,-229.37582397460938,-325.8541564941406
-235.26734924316406,-205.90850830078125,-343.5145263671875
-300.46209716796875,-190.4873504638672,-561.0770263671875
-207.7672119140625,-253.0147247314453,-1122.40625
-302.92864990234375,-267.4569091796875,-381.44793701171875
-215.4827117919922,-199.4683380126953,-403.3392333984375
-106.37178039550781,-114.73049926757812,-329.15289306640625
-277.27325439453125,-251.2869110107422,-744.1675415039062
-291.01171875,-262.9865417480469,-378.07379150390625
-193.2962188720703,-181.10226440429688,-344.904541015625
-281.01153564453125,-271.1357421875,-573.9098510742188
-205.4081573486328,-268.56036376953125,-986.0514526367188
-299.4886779785156,-257.2786865234375,-336.689208984375
-224.17086791992188,-215.3677215576172,-443.97613525390625
-298.73193359375,-334.531005859375,-686.2584838867188
-170.1681671142578,-229.03077697753906,-710.2987670898438
-318.525146484375,-221.71673583984375,-389.9407958984375
-217.8771209716797,-182.111572265625,-515.2576293945312
-276.67681884765625,-280.1816711425781,-668.9722290039062
-192.30026245117188,-260.8558044433594,-1020.8554077148438
-190.09620666503906,-162.9468231201172,-229.75511169433594
-182.06996154785156,-165.50526428222656,-361.21075439453125
-189.5503387451172,-169.9344940185547,-445.18963623046875
-322.05621337890625,-355.8749084472656,-1123.498291015625
-196.82408142089844,-174.9300079345703,-247.29241943359375
-180.19717407226562,-165.2418975830078,-396.9941711425781
-257.38677978515625,-265.36572265625,-565.74951171875
-332.92791748046875,-395.53131103515625,-1211.17822265625
-233.59381103515625,-200.0245819091797,-321.9252014160156
-189.66766357421875,-170.79498291015625,-347.22064208984375
-249.31199645996094,-245.5612335205078,-401.84356689453125
-184.04270935058594,-201.2712860107422,-431.6953430175781
-250.24505615234375,-221.7989959716797,-293.164794921875
-202.04127502441406,-193.13633728027344,-340.063232421875
-214.31631469726562,-200.1133270263672,-500.6775817871094
-228.57180786132812,-258.0736999511719,-932.5452880859375
-217.0959930419922,-184.29576110839844,-356.97894287109375
-212.70091247558594,-178.60263061523438,-475.7033996582031
-221.2025909423828,-222.04510498046875,-655.2459106445312
-213.03379821777344,-274.5730895996094,-923.0444946289062
-322.97650146484375,-290.8009033203125,-363.3313293457031
-301.0657958984375,-265.56719970703125,-454.2078857421875
-208.46278381347656,-201.77418518066406,-558.3505249023438
-186.0593719482422,-218.7632293701172,-658.5955810546875
-348.3094177246094,-295.6306457519531,-421.4459228515625
-174.21597290039062,-168.0553436279297,-251.89407348632812
-256.4492492675781,-274.4527587890625,-602.5667724609375
-200.3839874267578,-214.8013916015625,-757.1318359375
-204.9381866455078,-176.8511199951172,-250.57659912109375
-247.54031372070312,-225.07489013671875,-341.67559814453125
-240.30963134765625,-239.98741149902344,-548.5833129882812
-153.00596618652344,-192.9713897705078,-511.8773193359375
-188.7141876220703,-183.72874450683594,-257.79150390625
-302.08148193359375,-265.29193115234375,-457.245849609375
-129.6411590576172,-167.78634643554688,-459.18829345703125
-203.23179626464844,-302.85394287109375,-961.3975219726562
-259.1797180175781,-232.01400756835938,-320.0406494140625
-242.009033203125,-185.70399475097656,-377.32196044921875
-318.671630859375,-305.7091064453125,-813.1075439453125
-170.78005981445312,-243.72926330566406,-986.0714111328125
-288.97637939453125,-262.1614685058594,-353.5933837890625
-242.84780883789062,-227.44361877441406,-503.2137145996094
-215.7488555908203,-223.43370056152344,-543.3932495117188
-294.7038879394531,-318.5616455078125,-907.1543579101562
-188.20571899414062,-193.05972290039062,-297.225341796875
-182.3668975830078,-179.5669403076172,-317.1169128417969
-244.86790466308594,-256.87091064453125,-570.8810424804688
-289.43560791015625,-331.23577880859375,-944.6410522460938
-282.2331848144531,-243.0016326904297,-365.13214111328125
-158.9199981689453,-136.37159729003906,-279.858154296875
-254.75514221191406,-232.165771484375,-452.44482421875
-396.23431396484375,-300.3406982421875,-1104.289794921875
-299.95623779296875,-257.8560485839844,-345.5444641113281
-198.334228515625,-195.37086486816406,-324.7469482421875
-208.6360321044922,-195.57415771484375,-525.9435424804688
-215.8856658935547,-258.58160400390625,-855.4733276367188
-195.8357391357422,-160.4624786376953,-265.20233154296875
-160.42787170410156,-146.69105529785156,-254.558349609375
-256.4239501953125,-245.6489715576172,-672.3685302734375
-231.54385375976562,-258.25262451171875,-758.261474609375
-217.95578002929688,-185.3929901123047,-263.2706604003906
-243.4036102294922,-217.76593017578125,-439.1352233886719
-286.4520263671875,-269.29248046875,-582.7921142578125
-171.7250213623047,-217.72633361816406,-827.73486328125
-236.76747131347656,-221.75973510742188,-313.36669921875
-226.2329559326172,-225.48390197753906,-413.5718688964844
-210.4536895751953,-224.27577209472656,-557.5559692382812
-170.1724090576172,-216.26356506347656,-713.6453247070312
-263.75653076171875,-241.87681579589844,-339.1141357421875
-201.5100860595703,-181.91795349121094,-336.6894226074219
-254.4021759033203,-257.0309143066406,-518.1884765625
-235.0972442626953,-224.02920532226562,-482.0291748046875
-217.5707550048828,-193.05401611328125,-343.58251953125
-192.1639862060547,-179.4513702392578,-334.2744140625
-244.2850341796875,-278.5145568847656,-579.2180786132812
