"epoch","16/05 17:25:53 Standard (weights)3 (continued899) - _step","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MAX","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_encoder.1.norm.bias_norm","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_encoder.1.norm.bias_norm__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_encoder.1.norm.bias_norm__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - _step","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_encoder.1.norm.bias_norm","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_encoder.1.norm.bias_norm__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_encoder.1.norm.bias_norm__MAX","29/04 10:06:37 Standard (weights)1 - _step","29/04 10:06:37 Standard (weights)1 - _step__MIN","29/04 10:06:37 Standard (weights)1 - _step__MAX","29/04 10:06:37 Standard (weights)1 - Generator_encoder.1.norm.bias_norm","29/04 10:06:37 Standard (weights)1 - Generator_encoder.1.norm.bias_norm__MIN","29/04 10:06:37 Standard (weights)1 - Generator_encoder.1.norm.bias_norm__MAX"
"139","","","","","","","","","","","","","3143","3143","3143","0.1461903601884842","0.1461903601884842","0.1461903601884842"
"140","","","","","","","","","","","","","3165","3165","3165","0.14575542509555817","0.14575542509555817","0.14575542509555817"
"141","","","","","","","","","","","","","3188","3188","3188","0.14587755501270294","0.14587755501270294","0.14587755501270294"
"142","","","","","","","","","","","","","3210","3210","3210","0.14614447951316833","0.14614447951316833","0.14614447951316833"
"143","","","","","","","","","","","","","3233","3233","3233","0.1456255167722702","0.1456255167722702","0.1456255167722702"
"144","","","","","","","","","","","","","3255","3255","3255","0.14645671844482422","0.14645671844482422","0.14645671844482422"
"145","","","","","","","","","","","","","3278","3278","3278","0.1472843736410141","0.1472843736410141","0.1472843736410141"
"146","","","","","","","","","","","","","3300","3300","3300","0.14859259128570557","0.14859259128570557","0.14859259128570557"
"147","","","","","","","","","","","","","3323","3323","3323","0.14797784388065338","0.14797784388065338","0.14797784388065338"
"148","","","","","","","","","","","","","3345","3345","3345","0.14901772141456604","0.14901772141456604","0.14901772141456604"
"149","","","","","","","","","","","","","3368","3368","3368","0.14849723875522614","0.14849723875522614","0.14849723875522614"
"150","","","","","","","","","","","","","3390","3390","3390","0.14730748534202576","0.14730748534202576","0.14730748534202576"
"151","","","","","","","","","","","","","3412","3412","3412","0.14859795570373535","0.14859795570373535","0.14859795570373535"
"152","","","","","","","","","","","","","3435","3435","3435","0.1503399908542633","0.1503399908542633","0.1503399908542633"
"153","","","","","","","","","","","","","3457","3457","3457","0.1500961035490036","0.1500961035490036","0.1500961035490036"
"154","","","","","","","","","","","","","3480","3480","3480","0.1501760333776474","0.1501760333776474","0.1501760333776474"
"155","","","","","","","","","","","","","3502","3502","3502","0.15019358694553375","0.15019358694553375","0.15019358694553375"
"156","","","","","","","","","","","","","3525","3525","3525","0.15233170986175537","0.15233170986175537","0.15233170986175537"
"157","","","","","","","","","","","","","3547","3547","3547","0.15298257768154144","0.15298257768154144","0.15298257768154144"
"158","","","","","","","","","","","","","3570","3570","3570","0.15295660495758057","0.15295660495758057","0.15295660495758057"
"159","","","","","","","","","","","","","3592","3592","3592","0.1533975750207901","0.1533975750207901","0.1533975750207901"
"160","","","","","","","","","","","","","3615","3615","3615","0.15358509123325348","0.15358509123325348","0.15358509123325348"
"161","","","","","","","","","","","","","3637","3637","3637","0.15402382612228394","0.15402382612228394","0.15402382612228394"
"162","","","","","","","","","","","","","3659","3659","3659","0.15429465472698212","0.15429465472698212","0.15429465472698212"
"163","","","","","","","","","","","","","3682","3682","3682","0.15372872352600098","0.15372872352600098","0.15372872352600098"
"164","","","","","","","","","","","","","3704","3704","3704","0.15425801277160645","0.15425801277160645","0.15425801277160645"
"165","","","","","","","","","","","","","3727","3727","3727","0.1545170396566391","0.1545170396566391","0.1545170396566391"
"166","","","","","","","","","","","","","3749","3749","3749","0.15674518048763275","0.15674518048763275","0.15674518048763275"
"167","","","","","","","","","","","","","3772","3772","3772","0.15485356748104095","0.15485356748104095","0.15485356748104095"
"168","","","","","","","","","","","","","3794","3794","3794","0.1576022058725357","0.1576022058725357","0.1576022058725357"
"169","","","","","","","","","","","","","3817","3817","3817","0.15793482959270477","0.15793482959270477","0.15793482959270477"
"170","","","","","","","","","","","","","3839","3839","3839","0.15777911245822906","0.15777911245822906","0.15777911245822906"
"171","","","","","","","","","","","","","3862","3862","3862","0.15752728283405304","0.15752728283405304","0.15752728283405304"
"172","","","","","","","","","","","","","3884","3884","3884","0.1576993465423584","0.1576993465423584","0.1576993465423584"
"173","","","","","","","","","","","","","3907","3907","3907","0.1570812612771988","0.1570812612771988","0.1570812612771988"
