"epoch","16/05 17:25:53 Standard (weights)3 (continued899) - _step","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MAX","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_encoder.0.norm.weight_norm","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_encoder.0.norm.weight_norm__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_encoder.0.norm.weight_norm__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - _step","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_encoder.0.norm.weight_norm","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_encoder.0.norm.weight_norm__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_encoder.0.norm.weight_norm__MAX","29/04 10:06:37 Standard (weights)1 - _step","29/04 10:06:37 Standard (weights)1 - _step__MIN","29/04 10:06:37 Standard (weights)1 - _step__MAX","29/04 10:06:37 Standard (weights)1 - Generator_encoder.0.norm.weight_norm","29/04 10:06:37 Standard (weights)1 - Generator_encoder.0.norm.weight_norm__MIN","29/04 10:06:37 Standard (weights)1 - Generator_encoder.0.norm.weight_norm__MAX"
"71","","","","","","","","","","","","","1616","1616","1616","5.4548492431640625","5.4548492431640625","5.4548492431640625"
"72","","","","","","","","","","","","","1638","1638","1638","5.453876495361328","5.453876495361328","5.453876495361328"
"73","","","","","","","","","","","","","1661","1661","1661","5.4528727531433105","5.4528727531433105","5.4528727531433105"
"74","","","","","","","","","","","","","1683","1683","1683","5.451987266540527","5.451987266540527","5.451987266540527"
"75","","","","","","","","","","","","","1705","1705","1705","5.450972080230713","5.450972080230713","5.450972080230713"
"76","","","","","","","","","","","","","1728","1728","1728","5.449937343597412","5.449937343597412","5.449937343597412"
"77","","","","","","","","","","","","","1750","1750","1750","5.44913387298584","5.44913387298584","5.44913387298584"
"78","","","","","","","","","","","","","1773","1773","1773","5.448253154754639","5.448253154754639","5.448253154754639"
"79","","","","","","","","","","","","","1795","1795","1795","5.4475250244140625","5.4475250244140625","5.4475250244140625"
"80","","","","","","","","","","","","","1818","1818","1818","5.446559429168701","5.446559429168701","5.446559429168701"
"81","","","","","","","","","","","","","1840","1840","1840","5.445845127105713","5.445845127105713","5.445845127105713"
"82","","","","","","","","","","","","","1863","1863","1863","5.445046901702881","5.445046901702881","5.445046901702881"
"83","","","","","","","","","","","","","1885","1885","1885","5.444247245788574","5.444247245788574","5.444247245788574"
