"epoch","16/05 17:25:53 Standard (weights)3 (continued899) - _step","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MAX","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_fc_layers1.bias_norm","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_fc_layers1.bias_norm__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_fc_layers1.bias_norm__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - _step","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_fc_layers1.bias_norm","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_fc_layers1.bias_norm__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_fc_layers1.bias_norm__MAX","29/04 10:06:37 Standard (weights)1 - _step","29/04 10:06:37 Standard (weights)1 - _step__MIN","29/04 10:06:37 Standard (weights)1 - _step__MAX","29/04 10:06:37 Standard (weights)1 - Discriminator_fc_layers1.bias_norm","29/04 10:06:37 Standard (weights)1 - Discriminator_fc_layers1.bias_norm__MIN","29/04 10:06:37 Standard (weights)1 - Discriminator_fc_layers1.bias_norm__MAX"
"73","","","","","","","","","","","","","1661","1661","1661","0.6345698833465576","0.6345698833465576","0.6345698833465576"
"74","","","","","","","","","","","","","1683","1683","1683","0.6414806246757507","0.6414806246757507","0.6414806246757507"
"75","","","","","","","","","","","","","1705","1705","1705","0.644686222076416","0.644686222076416","0.644686222076416"
"76","","","","","","","","","","","","","1728","1728","1728","0.6444575190544128","0.6444575190544128","0.6444575190544128"
"77","","","","","","","","","","","","","1750","1750","1750","0.6500425934791565","0.6500425934791565","0.6500425934791565"
"78","","","","","","","","","","","","","1773","1773","1773","0.6542869210243225","0.6542869210243225","0.6542869210243225"
"79","","","","","","","","","","","","","1795","1795","1795","0.6703003644943237","0.6703003644943237","0.6703003644943237"
"80","","","","","","","","","","","","","1818","1818","1818","0.6730764508247375","0.6730764508247375","0.6730764508247375"
"81","","","","","","","","","","","","","1840","1840","1840","0.6763900518417358","0.6763900518417358","0.6763900518417358"
"82","","","","","","","","","","","","","1863","1863","1863","0.6787669658660889","0.6787669658660889","0.6787669658660889"
"83","","","","","","","","","","","","","1885","1885","1885","0.6775525808334351","0.6775525808334351","0.6775525808334351"
"84","","","","","","","","","","","","","1908","1908","1908","0.6801825165748596","0.6801825165748596","0.6801825165748596"
"85","","","","","","","","","","","","","1930","1930","1930","0.6868836283683777","0.6868836283683777","0.6868836283683777"
"86","","","","","","","","","","","","","1953","1953","1953","0.6878006458282471","0.6878006458282471","0.6878006458282471"
"87","","","","","","","","","","","","","1975","1975","1975","0.6877862811088562","0.6877862811088562","0.6877862811088562"
"88","","","","","","","","","","","","","1997","1997","1997","0.6920380592346191","0.6920380592346191","0.6920380592346191"
"89","","","","","","","","","","","","","2020","2020","2020","0.6941604018211365","0.6941604018211365","0.6941604018211365"
"90","","","","","","","","","","","","","2042","2042","2042","0.7029675245285034","0.7029675245285034","0.7029675245285034"
"91","","","","","","","","","","","","","2065","2065","2065","0.7109809517860413","0.7109809517860413","0.7109809517860413"
"92","","","","","","","","","","","","","2087","2087","2087","0.7145341038703918","0.7145341038703918","0.7145341038703918"
"93","","","","","","","","","","","","","2110","2110","2110","0.7146499752998352","0.7146499752998352","0.7146499752998352"
"94","","","","","","","","","","","","","2132","2132","2132","0.7152563333511353","0.7152563333511353","0.7152563333511353"
"95","","","","","","","","","","","","","2155","2155","2155","0.7230470776557922","0.7230470776557922","0.7230470776557922"
"96","","","","","","","","","","","","","2177","2177","2177","0.7241373658180237","0.7241373658180237","0.7241373658180237"
"97","","","","","","","","","","","","","2200","2200","2200","0.7272871136665344","0.7272871136665344","0.7272871136665344"
"98","","","","","","","","","","","","","2222","2222","2222","0.7274131774902344","0.7274131774902344","0.7274131774902344"
"99","","","","","","","","","","","","","2245","2245","2245","0.7284589409828186","0.7284589409828186","0.7284589409828186"
"100","","","","","","","","","","","","","2267","2267","2267","0.7296298742294312","0.7296298742294312","0.7296298742294312"
"101","","","","","","","","","","","","","2289","2289","2289","0.7397461533546448","0.7397461533546448","0.7397461533546448"
"102","","","","","","","","","","","","","2312","2312","2312","0.7402556538581848","0.7402556538581848","0.7402556538581848"
"103","","","","","","","","","","","","","2334","2334","2334","0.7436107993125916","0.7436107993125916","0.7436107993125916"
"104","","","","","","","","","","","","","2357","2357","2357","0.7501406669616699","0.7501406669616699","0.7501406669616699"
"105","","","","","","","","","","","","","2379","2379","2379","0.7502893209457397","0.7502893209457397","0.7502893209457397"
"106","","","","","","","","","","","","","2402","2402","2402","0.7502845525741577","0.7502845525741577","0.7502845525741577"
"107","","","","","","","","","","","","","2424","2424","2424","0.7506679892539978","0.7506679892539978","0.7506679892539978"
"108","","","","","","","","","","","","","2447","2447","2447","0.7544696927070618","0.7544696927070618","0.7544696927070618"
"109","","","","","","","","","","","","","2469","2469","2469","0.7551195025444031","0.7551195025444031","0.7551195025444031"
"110","","","","","","","","","","","","","2492","2492","2492","0.7570399045944214","0.7570399045944214","0.7570399045944214"
"111","","","","","","","","","","","","","2514","2514","2514","0.7582206726074219","0.7582206726074219","0.7582206726074219"
"112","","","","","","","","","","","","","2536","2536","2536","0.7586889266967773","0.7586889266967773","0.7586889266967773"
"113","","","","","","","","","","","","","2559","2559","2559","0.7586988210678101","0.7586988210678101","0.7586988210678101"
"114","","","","","","","","","","","","","2581","2581","2581","0.7597053050994873","0.7597053050994873","0.7597053050994873"
"115","","","","","","","","","","","","","2604","2604","2604","0.7600821256637573","0.7600821256637573","0.7600821256637573"
