"epoch","16/05 17:25:53 Standard (weights)3 (continued899) - _step","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MAX","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_conv_layers.4.conv.bias_norm","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_conv_layers.4.conv.bias_norm__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_conv_layers.4.conv.bias_norm__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - _step","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_conv_layers.4.conv.bias_norm","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_conv_layers.4.conv.bias_norm__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_conv_layers.4.conv.bias_norm__MAX","29/04 10:06:37 Standard (weights)1 - _step","29/04 10:06:37 Standard (weights)1 - _step__MIN","29/04 10:06:37 Standard (weights)1 - _step__MAX","29/04 10:06:37 Standard (weights)1 - Discriminator_conv_layers.4.conv.bias_norm","29/04 10:06:37 Standard (weights)1 - Discriminator_conv_layers.4.conv.bias_norm__MIN","29/04 10:06:37 Standard (weights)1 - Discriminator_conv_layers.4.conv.bias_norm__MAX"
"78","","","","","","","","","","","","","1773","1773","1773","2.0348081588745117","2.0348081588745117","2.0348081588745117"
"79","","","","","","","","","","","","","1795","1795","1795","2.0537381172180176","2.0537381172180176","2.0537381172180176"
"80","","","","","","","","","","","","","1818","1818","1818","2.0672974586486816","2.0672974586486816","2.0672974586486816"
"81","","","","","","","","","","","","","1840","1840","1840","2.0688912868499756","2.0688912868499756","2.0688912868499756"
"82","","","","","","","","","","","","","1863","1863","1863","2.0709078311920166","2.0709078311920166","2.0709078311920166"
"83","","","","","","","","","","","","","1885","1885","1885","2.0785858631134033","2.0785858631134033","2.0785858631134033"
"84","","","","","","","","","","","","","1908","1908","1908","2.0813355445861816","2.0813355445861816","2.0813355445861816"
"85","","","","","","","","","","","","","1930","1930","1930","2.098768949508667","2.098768949508667","2.098768949508667"
"86","","","","","","","","","","","","","1953","1953","1953","2.102703332901001","2.102703332901001","2.102703332901001"
"87","","","","","","","","","","","","","1975","1975","1975","2.1001460552215576","2.1001460552215576","2.1001460552215576"
"88","","","","","","","","","","","","","1997","1997","1997","2.1009247303009033","2.1009247303009033","2.1009247303009033"
"89","","","","","","","","","","","","","2020","2020","2020","2.1258482933044434","2.1258482933044434","2.1258482933044434"
"90","","","","","","","","","","","","","2042","2042","2042","2.1374270915985107","2.1374270915985107","2.1374270915985107"
"91","","","","","","","","","","","","","2065","2065","2065","2.150240659713745","2.150240659713745","2.150240659713745"
"92","","","","","","","","","","","","","2087","2087","2087","2.1567890644073486","2.1567890644073486","2.1567890644073486"
"93","","","","","","","","","","","","","2110","2110","2110","2.161503314971924","2.161503314971924","2.161503314971924"
"94","","","","","","","","","","","","","2132","2132","2132","2.157606840133667","2.157606840133667","2.157606840133667"
"95","","","","","","","","","","","","","2155","2155","2155","2.1710543632507324","2.1710543632507324","2.1710543632507324"
"96","","","","","","","","","","","","","2177","2177","2177","2.163583755493164","2.163583755493164","2.163583755493164"
"97","","","","","","","","","","","","","2200","2200","2200","2.1632065773010254","2.1632065773010254","2.1632065773010254"
"98","","","","","","","","","","","","","2222","2222","2222","2.1599607467651367","2.1599607467651367","2.1599607467651367"
"99","","","","","","","","","","","","","2245","2245","2245","2.1626365184783936","2.1626365184783936","2.1626365184783936"
"100","","","","","","","","","","","","","2267","2267","2267","2.1624884605407715","2.1624884605407715","2.1624884605407715"
"101","","","","","","","","","","","","","2289","2289","2289","2.1877357959747314","2.1877357959747314","2.1877357959747314"
"102","","","","","","","","","","","","","2312","2312","2312","2.1873230934143066","2.1873230934143066","2.1873230934143066"
"103","","","","","","","","","","","","","2334","2334","2334","2.1970250606536865","2.1970250606536865","2.1970250606536865"
"104","","","","","","","","","","","","","2357","2357","2357","2.2080490589141846","2.2080490589141846","2.2080490589141846"
"105","","","","","","","","","","","","","2379","2379","2379","2.2069411277770996","2.2069411277770996","2.2069411277770996"
"106","","","","","","","","","","","","","2402","2402","2402","2.2060229778289795","2.2060229778289795","2.2060229778289795"
"107","","","","","","","","","","","","","2424","2424","2424","2.2035365104675293","2.2035365104675293","2.2035365104675293"
"108","","","","","","","","","","","","","2447","2447","2447","2.2128961086273193","2.2128961086273193","2.2128961086273193"
"109","","","","","","","","","","","","","2469","2469","2469","2.2174947261810303","2.2174947261810303","2.2174947261810303"
"110","","","","","","","","","","","","","2492","2492","2492","2.21728515625","2.21728515625","2.21728515625"
"111","","","","","","","","","","","","","2514","2514","2514","2.230504035949707","2.230504035949707","2.230504035949707"
"112","","","","","","","","","","","","","2536","2536","2536","2.22548246383667","2.22548246383667","2.22548246383667"
"113","","","","","","","","","","","","","2559","2559","2559","2.225632667541504","2.225632667541504","2.225632667541504"
"114","","","","","","","","","","","","","2581","2581","2581","2.2250173091888428","2.2250173091888428","2.2250173091888428"
"115","","","","","","","","","","","","","2604","2604","2604","2.2269718647003174","2.2269718647003174","2.2269718647003174"
"116","","","","","","","","","","","","","2626","2626","2626","2.2440342903137207","2.2440342903137207","2.2440342903137207"
"117","","","","","","","","","","","","","2649","2649","2649","2.2367913722991943","2.2367913722991943","2.2367913722991943"
"118","","","","","","","","","","","","","2671","2671","2671","2.2446846961975098","2.2446846961975098","2.2446846961975098"
"119","","","","","","","","","","","","","2694","2694","2694","2.26424241065979","2.26424241065979","2.26424241065979"
"120","","","","","","","","","","","","","2716","2716","2716","2.2605512142181396","2.2605512142181396","2.2605512142181396"
"121","","","","","","","","","","","","","2739","2739","2739","2.2624711990356445","2.2624711990356445","2.2624711990356445"
"122","","","","","","","","","","","","","2761","2761","2761","2.261798620223999","2.261798620223999","2.261798620223999"
"123","","","","","","","","","","","","","2784","2784","2784","2.2586255073547363","2.2586255073547363","2.2586255073547363"
"124","","","","","","","","","","","","","2806","2806","2806","2.2598555088043213","2.2598555088043213","2.2598555088043213"
"125","","","","","","","","","","","","","2828","2828","2828","2.264564275741577","2.264564275741577","2.264564275741577"
"126","","","","","","","","","","","","","2851","2851","2851","2.2704293727874756","2.2704293727874756","2.2704293727874756"
"127","","","","","","","","","","","","","2873","2873","2873","2.2701022624969482","2.2701022624969482","2.2701022624969482"
"128","","","","","","","","","","","","","2896","2896","2896","2.2719943523406982","2.2719943523406982","2.2719943523406982"
"129","","","","","","","","","","","","","2918","2918","2918","2.2815117835998535","2.2815117835998535","2.2815117835998535"
"130","","","","","","","","","","","","","2941","2941","2941","2.279080867767334","2.279080867767334","2.279080867767334"
"131","","","","","","","","","","","","","2963","2963","2963","2.275697708129883","2.275697708129883","2.275697708129883"
"132","","","","","","","","","","","","","2986","2986","2986","2.2761001586914062","2.2761001586914062","2.2761001586914062"
"133","","","","","","","","","","","","","3008","3008","3008","2.291607141494751","2.291607141494751","2.291607141494751"
"134","","","","","","","","","","","","","3031","3031","3031","2.3067636489868164","2.3067636489868164","2.3067636489868164"
"135","","","","","","","","","","","","","3053","3053","3053","2.310347080230713","2.310347080230713","2.310347080230713"
"136","","","","","","","","","","","","","3076","3076","3076","2.303532838821411","2.303532838821411","2.303532838821411"
"137","","","","","","","","","","","","","3098","3098","3098","2.303293466567993","2.303293466567993","2.303293466567993"
"138","","","","","","","","","","","","","3120","3120","3120","2.299679756164551","2.299679756164551","2.299679756164551"
"139","","","","","","","","","","","","","3143","3143","3143","2.3084094524383545","2.3084094524383545","2.3084094524383545"
"140","","","","","","","","","","","","","3165","3165","3165","2.3035616874694824","2.3035616874694824","2.3035616874694824"
"141","","","","","","","","","","","","","3188","3188","3188","2.2988688945770264","2.2988688945770264","2.2988688945770264"
"142","","","","","","","","","","","","","3210","3210","3210","2.300842523574829","2.300842523574829","2.300842523574829"
"143","","","","","","","","","","","","","3233","3233","3233","2.30334734916687","2.30334734916687","2.30334734916687"
"144","","","","","","","","","","","","","3255","3255","3255","2.3005800247192383","2.3005800247192383","2.3005800247192383"
"145","","","","","","","","","","","","","3278","3278","3278","2.3009603023529053","2.3009603023529053","2.3009603023529053"
"146","","","","","","","","","","","","","3300","3300","3300","2.3071110248565674","2.3071110248565674","2.3071110248565674"
"147","","","","","","","","","","","","","3323","3323","3323","2.3046672344207764","2.3046672344207764","2.3046672344207764"
"148","","","","","","","","","","","","","3345","3345","3345","2.3026959896087646","2.3026959896087646","2.3026959896087646"
"149","","","","","","","","","","","","","3368","3368","3368","2.2991018295288086","2.2991018295288086","2.2991018295288086"
"150","","","","","","","","","","","","","3390","3390","3390","2.3039207458496094","2.3039207458496094","2.3039207458496094"
"151","","","","","","","","","","","","","3412","3412","3412","2.3196685314178467","2.3196685314178467","2.3196685314178467"
"152","","","","","","","","","","","","","3435","3435","3435","2.3198935985565186","2.3198935985565186","2.3198935985565186"
"153","","","","","","","","","","","","","3457","3457","3457","2.322960138320923","2.322960138320923","2.322960138320923"
"154","","","","","","","","","","","","","3480","3480","3480","2.313875675201416","2.313875675201416","2.313875675201416"
"155","","","","","","","","","","","","","3502","3502","3502","2.3180150985717773","2.3180150985717773","2.3180150985717773"
"156","","","","","","","","","","","","","3525","3525","3525","2.326054334640503","2.326054334640503","2.326054334640503"
"157","","","","","","","","","","","","","3547","3547","3547","2.3266146183013916","2.3266146183013916","2.3266146183013916"
"158","","","","","","","","","","","","","3570","3570","3570","2.3279099464416504","2.3279099464416504","2.3279099464416504"
"159","","","","","","","","","","","","","3592","3592","3592","2.323669195175171","2.323669195175171","2.323669195175171"
"160","","","","","","","","","","","","","3615","3615","3615","2.3255319595336914","2.3255319595336914","2.3255319595336914"
"161","","","","","","","","","","","","","3637","3637","3637","2.3340203762054443","2.3340203762054443","2.3340203762054443"
"162","","","","","","","","","","","","","3659","3659","3659","2.3287453651428223","2.3287453651428223","2.3287453651428223"
"163","","","","","","","","","","","","","3682","3682","3682","2.328070640563965","2.328070640563965","2.328070640563965"
"164","","","","","","","","","","","","","3704","3704","3704","2.329451560974121","2.329451560974121","2.329451560974121"
"165","","","","","","","","","","","","","3727","3727","3727","2.33770489692688","2.33770489692688","2.33770489692688"
"166","","","","","","","","","","","","","3749","3749","3749","2.3409483432769775","2.3409483432769775","2.3409483432769775"
"167","","","","","","","","","","","","","3772","3772","3772","2.3403849601745605","2.3403849601745605","2.3403849601745605"
"168","","","","","","","","","","","","","3794","3794","3794","2.345241069793701","2.345241069793701","2.345241069793701"
"169","","","","","","","","","","","","","3817","3817","3817","2.348670482635498","2.348670482635498","2.348670482635498"
"170","","","","","","","","","","","","","3839","3839","3839","2.3441929817199707","2.3441929817199707","2.3441929817199707"
"171","","","","","","","","","","","","","3862","3862","3862","2.341630697250366","2.341630697250366","2.341630697250366"
"172","","","","","","","","","","","","","3884","3884","3884","2.3434250354766846","2.3434250354766846","2.3434250354766846"
"173","","","","","","","","","","","","","3907","3907","3907","2.3439078330993652","2.3439078330993652","2.3439078330993652"
"174","","","","","","","","","","","","","3929","3929","3929","2.3450815677642822","2.3450815677642822","2.3450815677642822"
"175","","","","","","","","","","","","","3951","3951","3951","2.3519303798675537","2.3519303798675537","2.3519303798675537"
"176","","","","","","","","","","","","","3974","3974","3974","2.3546648025512695","2.3546648025512695","2.3546648025512695"
"177","","","","","","","","","","","","","3996","3996","3996","2.3633322715759277","2.3633322715759277","2.3633322715759277"
"178","","","","","","","","","","","","","4019","4019","4019","2.358570098876953","2.358570098876953","2.358570098876953"
"179","","","","","","","","","","","","","4041","4041","4041","2.3564512729644775","2.3564512729644775","2.3564512729644775"
"180","","","","","","","","","","","","","4064","4064","4064","2.3585145473480225","2.3585145473480225","2.3585145473480225"
"181","","","","","","","","","","","","","4086","4086","4086","2.359208583831787","2.359208583831787","2.359208583831787"
"182","","","","","","","","","","","","","4109","4109","4109","2.3648931980133057","2.3648931980133057","2.3648931980133057"
"183","","","","","","","","","","","","","4131","4131","4131","2.3530235290527344","2.3530235290527344","2.3530235290527344"
"184","","","","","","","","","","","","","4154","4154","4154","2.3572990894317627","2.3572990894317627","2.3572990894317627"
"185","","","","","","","","","","","","","4176","4176","4176","2.357231378555298","2.357231378555298","2.357231378555298"
"186","","","","","","","","","","","","","4199","4199","4199","2.35545015335083","2.35545015335083","2.35545015335083"
"187","","","","","","","","","","","","","4221","4221","4221","2.357008218765259","2.357008218765259","2.357008218765259"
"188","","","","","","","","","","","","","4243","4243","4243","2.353808641433716","2.353808641433716","2.353808641433716"
"189","","","","","","","","","","","","","4266","4266","4266","2.3627450466156006","2.3627450466156006","2.3627450466156006"
"190","","","","","","","","","","","","","4288","4288","4288","2.36680269241333","2.36680269241333","2.36680269241333"
"191","","","","","","","","","","","","","4311","4311","4311","2.3617899417877197","2.3617899417877197","2.3617899417877197"
"192","","","","","","","","","","","","","4333","4333","4333","2.3586361408233643","2.3586361408233643","2.3586361408233643"
"193","","","","","","","","","","","","","4356","4356","4356","2.359041690826416","2.359041690826416","2.359041690826416"
"194","","","","","","","","","","","","","4378","4378","4378","2.3585402965545654","2.3585402965545654","2.3585402965545654"
"195","","","","","","","","","","","","","4401","4401","4401","2.356361150741577","2.356361150741577","2.356361150741577"
"196","","","","","","","","","","","","","4423","4423","4423","2.359630584716797","2.359630584716797","2.359630584716797"
"197","","","","","","","","","","","","","4446","4446","4446","2.356205701828003","2.356205701828003","2.356205701828003"
"198","","","","","","","","","","","","","4468","4468","4468","2.3578083515167236","2.3578083515167236","2.3578083515167236"
"199","","","","","","","","","","","","","4491","4491","4491","2.3671467304229736","2.3671467304229736","2.3671467304229736"
"200","","","","","","","","","","","","","4513","4513","4513","2.3758318424224854","2.3758318424224854","2.3758318424224854"
"201","","","","","","","","","","","","","4535","4535","4535","2.3723487854003906","2.3723487854003906","2.3723487854003906"
"202","","","","","","","","","","","","","4558","4558","4558","2.3732430934906006","2.3732430934906006","2.3732430934906006"
"203","","","","","","","","","","","","","4580","4580","4580","2.3784358501434326","2.3784358501434326","2.3784358501434326"
"204","","","","","","","","","","","","","4603","4603","4603","2.3769962787628174","2.3769962787628174","2.3769962787628174"
"205","","","","","","","","","","","","","4625","4625","4625","2.3839550018310547","2.3839550018310547","2.3839550018310547"
"206","","","","","","","","","","","","","4648","4648","4648","2.379337787628174","2.379337787628174","2.379337787628174"
"207","","","","","","","","","","","","","4670","4670","4670","2.384446859359741","2.384446859359741","2.384446859359741"
"208","","","","","","","","","","","","","4693","4693","4693","2.3814475536346436","2.3814475536346436","2.3814475536346436"
"209","","","","","","","","","","","","","4715","4715","4715","2.3808717727661133","2.3808717727661133","2.3808717727661133"
"210","","","","","","","","","","","","","4738","4738","4738","2.3768069744110107","2.3768069744110107","2.3768069744110107"
"211","","","","","","","","","","","","","4760","4760","4760","2.37351131439209","2.37351131439209","2.37351131439209"
"212","","","","","","","","","","","","","4782","4782","4782","2.3755548000335693","2.3755548000335693","2.3755548000335693"
"213","","","","","","","","","","","","","4805","4805","4805","2.3767693042755127","2.3767693042755127","2.3767693042755127"
"214","","","","","","","","","","","","","4827","4827","4827","2.3778910636901855","2.3778910636901855","2.3778910636901855"
"215","","","","","","","","","","","","","4850","4850","4850","2.374223470687866","2.374223470687866","2.374223470687866"
"216","","","","","","","","","","","","","4872","4872","4872","2.375323534011841","2.375323534011841","2.375323534011841"
"217","","","","","","","","","","","","","4895","4895","4895","2.374130964279175","2.374130964279175","2.374130964279175"
"218","","","","","","","","","","","","","4917","4917","4917","2.3766589164733887","2.3766589164733887","2.3766589164733887"
"219","","","","","","","","","","","","","4940","4940","4940","2.3766870498657227","2.3766870498657227","2.3766870498657227"
"220","","","","","","","","","","","","","4962","4962","4962","2.3858704566955566","2.3858704566955566","2.3858704566955566"
"221","","","","","","","","","","","","","4985","4985","4985","2.3997535705566406","2.3997535705566406","2.3997535705566406"
"222","","","","","","","","","","","","","5007","5007","5007","2.4210362434387207","2.4210362434387207","2.4210362434387207"
"223","","","","","","","","","","","","","5030","5030","5030","2.418438673019409","2.418438673019409","2.418438673019409"
"224","","","","","","","","","","","","","5052","5052","5052","2.4114391803741455","2.4114391803741455","2.4114391803741455"
"225","","","","","","","","","","","","","5074","5074","5074","2.415870189666748","2.415870189666748","2.415870189666748"
"226","","","","","","","","","","","","","5097","5097","5097","2.4259283542633057","2.4259283542633057","2.4259283542633057"
"227","","","","","","","","","","","","","5119","5119","5119","2.4291481971740723","2.4291481971740723","2.4291481971740723"
"228","","","","","","","","","","","","","5142","5142","5142","2.4242775440216064","2.4242775440216064","2.4242775440216064"
"229","","","","","","","","","","","","","5164","5164","5164","2.4222118854522705","2.4222118854522705","2.4222118854522705"
"230","","","","","","","","","","","","","5187","5187","5187","2.421285390853882","2.421285390853882","2.421285390853882"
"231","","","","","","","","","","","","","5209","5209","5209","2.4156408309936523","2.4156408309936523","2.4156408309936523"
"232","","","","","","","","","","","","","5232","5232","5232","2.4146535396575928","2.4146535396575928","2.4146535396575928"
"233","","","","","","","","","","","","","5254","5254","5254","2.413088798522949","2.413088798522949","2.413088798522949"
"234","","","","","","","","","","","","","5277","5277","5277","2.413478136062622","2.413478136062622","2.413478136062622"
