"epoch","16/05 17:25:53 Standard (weights)3 (continued899) - _step","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MAX","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_decoder.0.norm.weight_norm","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_decoder.0.norm.weight_norm__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_decoder.0.norm.weight_norm__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - _step","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_decoder.0.norm.weight_norm","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_decoder.0.norm.weight_norm__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_decoder.0.norm.weight_norm__MAX","29/04 10:06:37 Standard (weights)1 - _step","29/04 10:06:37 Standard (weights)1 - _step__MIN","29/04 10:06:37 Standard (weights)1 - _step__MAX","29/04 10:06:37 Standard (weights)1 - Generator_decoder.0.norm.weight_norm","29/04 10:06:37 Standard (weights)1 - Generator_decoder.0.norm.weight_norm__MIN","29/04 10:06:37 Standard (weights)1 - Generator_decoder.0.norm.weight_norm__MAX"
"93","","","","","","","","","","","","","2110","2110","2110","8.306291580200195","8.306291580200195","8.306291580200195"
"94","","","","","","","","","","","","","2132","2132","2132","8.310872077941895","8.310872077941895","8.310872077941895"
"95","","","","","","","","","","","","","2155","2155","2155","8.313344955444336","8.313344955444336","8.313344955444336"
"96","","","","","","","","","","","","","2177","2177","2177","8.315972328186035","8.315972328186035","8.315972328186035"
"97","","","","","","","","","","","","","2200","2200","2200","8.319217681884766","8.319217681884766","8.319217681884766"
"98","","","","","","","","","","","","","2222","2222","2222","8.321037292480469","8.321037292480469","8.321037292480469"
"99","","","","","","","","","","","","","2245","2245","2245","8.324312210083008","8.324312210083008","8.324312210083008"
"100","","","","","","","","","","","","","2267","2267","2267","8.326152801513672","8.326152801513672","8.326152801513672"
"101","","","","","","","","","","","","","2289","2289","2289","8.329425811767578","8.329425811767578","8.329425811767578"
"102","","","","","","","","","","","","","2312","2312","2312","8.332341194152832","8.332341194152832","8.332341194152832"
"103","","","","","","","","","","","","","2334","2334","2334","8.334237098693848","8.334237098693848","8.334237098693848"
"104","","","","","","","","","","","","","2357","2357","2357","8.336142539978027","8.336142539978027","8.336142539978027"
"105","","","","","","","","","","","","","2379","2379","2379","8.3378324508667","8.3378324508667","8.3378324508667"
"106","","","","","","","","","","","","","2402","2402","2402","8.340760231018066","8.340760231018066","8.340760231018066"
"107","","","","","","","","","","","","","2424","2424","2424","8.343416213989258","8.343416213989258","8.343416213989258"
"108","","","","","","","","","","","","","2447","2447","2447","8.346512794494629","8.346512794494629","8.346512794494629"
"109","","","","","","","","","","","","","2469","2469","2469","8.349957466125488","8.349957466125488","8.349957466125488"
"110","","","","","","","","","","","","","2492","2492","2492","8.352069854736328","8.352069854736328","8.352069854736328"
"111","","","","","","","","","","","","","2514","2514","2514","8.355825424194336","8.355825424194336","8.355825424194336"
"112","","","","","","","","","","","","","2536","2536","2536","8.357339859008789","8.357339859008789","8.357339859008789"
"113","","","","","","","","","","","","","2559","2559","2559","8.359563827514648","8.359563827514648","8.359563827514648"
"114","","","","","","","","","","","","","2581","2581","2581","8.361593246459961","8.361593246459961","8.361593246459961"
"115","","","","","","","","","","","","","2604","2604","2604","8.364557266235352","8.364557266235352","8.364557266235352"
"116","","","","","","","","","","","","","2626","2626","2626","8.36883544921875","8.36883544921875","8.36883544921875"
"117","","","","","","","","","","","","","2649","2649","2649","8.373078346252441","8.373078346252441","8.373078346252441"
"118","","","","","","","","","","","","","2671","2671","2671","8.375449180603027","8.375449180603027","8.375449180603027"
"119","","","","","","","","","","","","","2694","2694","2694","8.379444122314453","8.379444122314453","8.379444122314453"
"120","","","","","","","","","","","","","2716","2716","2716","8.380752563476562","8.380752563476562","8.380752563476562"
"121","","","","","","","","","","","","","2739","2739","2739","8.384116172790527","8.384116172790527","8.384116172790527"
"122","","","","","","","","","","","","","2761","2761","2761","8.386982917785645","8.386982917785645","8.386982917785645"
"123","","","","","","","","","","","","","2784","2784","2784","8.388744354248047","8.388744354248047","8.388744354248047"
"124","","","","","","","","","","","","","2806","2806","2806","8.391803741455078","8.391803741455078","8.391803741455078"
"125","","","","","","","","","","","","","2828","2828","2828","8.395064353942871","8.395064353942871","8.395064353942871"
"126","","","","","","","","","","","","","2851","2851","2851","8.399370193481445","8.399370193481445","8.399370193481445"
"127","","","","","","","","","","","","","2873","2873","2873","8.400785446166992","8.400785446166992","8.400785446166992"
"128","","","","","","","","","","","","","2896","2896","2896","8.405171394348145","8.405171394348145","8.405171394348145"
"129","","","","","","","","","","","","","2918","2918","2918","8.40720272064209","8.40720272064209","8.40720272064209"
