"epoch","16/05 17:25:53 Standard (weights)3 (continued899) - _step","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MAX","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_conv_layers.5.conv.weight_orig_norm","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_conv_layers.5.conv.weight_orig_norm__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_conv_layers.5.conv.weight_orig_norm__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - _step","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_conv_layers.5.conv.weight_orig_norm","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_conv_layers.5.conv.weight_orig_norm__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_conv_layers.5.conv.weight_orig_norm__MAX","29/04 10:06:37 Standard (weights)1 - _step","29/04 10:06:37 Standard (weights)1 - _step__MIN","29/04 10:06:37 Standard (weights)1 - _step__MAX","29/04 10:06:37 Standard (weights)1 - Discriminator_conv_layers.5.conv.weight_orig_norm","29/04 10:06:37 Standard (weights)1 - Discriminator_conv_layers.5.conv.weight_orig_norm__MIN","29/04 10:06:37 Standard (weights)1 - Discriminator_conv_layers.5.conv.weight_orig_norm__MAX"
"75","","","","","","","","","","","","","1705","1705","1705","15.347140312194824","15.347140312194824","15.347140312194824"
"76","","","","","","","","","","","","","1728","1728","1728","15.37496280670166","15.37496280670166","15.37496280670166"
"77","","","","","","","","","","","","","1750","1750","1750","15.468790054321289","15.468790054321289","15.468790054321289"
"78","","","","","","","","","","","","","1773","1773","1773","15.496474266052246","15.496474266052246","15.496474266052246"
"79","","","","","","","","","","","","","1795","1795","1795","15.637871742248535","15.637871742248535","15.637871742248535"
"80","","","","","","","","","","","","","1818","1818","1818","15.6976318359375","15.6976318359375","15.6976318359375"
"81","","","","","","","","","","","","","1840","1840","1840","15.73403549194336","15.73403549194336","15.73403549194336"
"82","","","","","","","","","","","","","1863","1863","1863","15.785311698913574","15.785311698913574","15.785311698913574"
"83","","","","","","","","","","","","","1885","1885","1885","15.838088035583496","15.838088035583496","15.838088035583496"
"84","","","","","","","","","","","","","1908","1908","1908","15.855794906616211","15.855794906616211","15.855794906616211"
"85","","","","","","","","","","","","","1930","1930","1930","15.92770767211914","15.92770767211914","15.92770767211914"
"86","","","","","","","","","","","","","1953","1953","1953","15.97480583190918","15.97480583190918","15.97480583190918"
"87","","","","","","","","","","","","","1975","1975","1975","15.993520736694336","15.993520736694336","15.993520736694336"
"88","","","","","","","","","","","","","1997","1997","1997","16.02294921875","16.02294921875","16.02294921875"
"89","","","","","","","","","","","","","2020","2020","2020","16.100112915039062","16.100112915039062","16.100112915039062"
"90","","","","","","","","","","","","","2042","2042","2042","16.07280921936035","16.07280921936035","16.07280921936035"
"91","","","","","","","","","","","","","2065","2065","2065","16.15350341796875","16.15350341796875","16.15350341796875"
"92","","","","","","","","","","","","","2087","2087","2087","16.227115631103516","16.227115631103516","16.227115631103516"
"93","","","","","","","","","","","","","2110","2110","2110","16.28531265258789","16.28531265258789","16.28531265258789"
"94","","","","","","","","","","","","","2132","2132","2132","16.297441482543945","16.297441482543945","16.297441482543945"
"95","","","","","","","","","","","","","2155","2155","2155","16.383642196655273","16.383642196655273","16.383642196655273"
"96","","","","","","","","","","","","","2177","2177","2177","16.370729446411133","16.370729446411133","16.370729446411133"
"97","","","","","","","","","","","","","2200","2200","2200","16.405576705932617","16.405576705932617","16.405576705932617"
"98","","","","","","","","","","","","","2222","2222","2222","16.439437866210938","16.439437866210938","16.439437866210938"
"99","","","","","","","","","","","","","2245","2245","2245","16.459245681762695","16.459245681762695","16.459245681762695"
"100","","","","","","","","","","","","","2267","2267","2267","16.471466064453125","16.471466064453125","16.471466064453125"
"101","","","","","","","","","","","","","2289","2289","2289","16.570112228393555","16.570112228393555","16.570112228393555"
"102","","","","","","","","","","","","","2312","2312","2312","16.630741119384766","16.630741119384766","16.630741119384766"
"103","","","","","","","","","","","","","2334","2334","2334","16.663414001464844","16.663414001464844","16.663414001464844"
"104","","","","","","","","","","","","","2357","2357","2357","16.749229431152344","16.749229431152344","16.749229431152344"
"105","","","","","","","","","","","","","2379","2379","2379","16.778432846069336","16.778432846069336","16.778432846069336"
"106","","","","","","","","","","","","","2402","2402","2402","16.80643653869629","16.80643653869629","16.80643653869629"
"107","","","","","","","","","","","","","2424","2424","2424","16.826797485351562","16.826797485351562","16.826797485351562"
