"epoch","16/05 17:25:53 Standard (weights)3 (continued899) - _step","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MAX","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_fc_layers2.weight_orig_norm","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_fc_layers2.weight_orig_norm__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_fc_layers2.weight_orig_norm__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - _step","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_fc_layers2.weight_orig_norm","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_fc_layers2.weight_orig_norm__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_fc_layers2.weight_orig_norm__MAX","29/04 10:06:37 Standard (weights)1 - _step","29/04 10:06:37 Standard (weights)1 - _step__MIN","29/04 10:06:37 Standard (weights)1 - _step__MAX","29/04 10:06:37 Standard (weights)1 - Discriminator_fc_layers2.weight_orig_norm","29/04 10:06:37 Standard (weights)1 - Discriminator_fc_layers2.weight_orig_norm__MIN","29/04 10:06:37 Standard (weights)1 - Discriminator_fc_layers2.weight_orig_norm__MAX"
"63","","","","","","","","","","","","","1436","1436","1436","0.5498997569084167","0.5498997569084167","0.5498997569084167"
"64","","","","","","","","","","","","","1458","1458","1458","0.5487319827079773","0.5487319827079773","0.5487319827079773"
"65","","","","","","","","","","","","","1481","1481","1481","0.5468047857284546","0.5468047857284546","0.5468047857284546"
"66","","","","","","","","","","","","","1503","1503","1503","0.5439133644104004","0.5439133644104004","0.5439133644104004"
"67","","","","","","","","","","","","","1526","1526","1526","0.5440720319747925","0.5440720319747925","0.5440720319747925"
"68","","","","","","","","","","","","","1548","1548","1548","0.5427089333534241","0.5427089333534241","0.5427089333534241"
"69","","","","","","","","","","","","","1571","1571","1571","0.540710985660553","0.540710985660553","0.540710985660553"
"70","","","","","","","","","","","","","1593","1593","1593","0.5407487750053406","0.5407487750053406","0.5407487750053406"
"71","","","","","","","","","","","","","1616","1616","1616","0.5398547649383545","0.5398547649383545","0.5398547649383545"
"72","","","","","","","","","","","","","1638","1638","1638","0.539711594581604","0.539711594581604","0.539711594581604"
"73","","","","","","","","","","","","","1661","1661","1661","0.5404537916183472","0.5404537916183472","0.5404537916183472"
"74","","","","","","","","","","","","","1683","1683","1683","0.5379689931869507","0.5379689931869507","0.5379689931869507"
"75","","","","","","","","","","","","","1705","1705","1705","0.5411584377288818","0.5411584377288818","0.5411584377288818"
"76","","","","","","","","","","","","","1728","1728","1728","0.5391967296600342","0.5391967296600342","0.5391967296600342"
"77","","","","","","","","","","","","","1750","1750","1750","0.5373315811157227","0.5373315811157227","0.5373315811157227"
"78","","","","","","","","","","","","","1773","1773","1773","0.5372368097305298","0.5372368097305298","0.5372368097305298"
"79","","","","","","","","","","","","","1795","1795","1795","0.5383195281028748","0.5383195281028748","0.5383195281028748"
"80","","","","","","","","","","","","","1818","1818","1818","0.5382196307182312","0.5382196307182312","0.5382196307182312"
"81","","","","","","","","","","","","","1840","1840","1840","0.5404120087623596","0.5404120087623596","0.5404120087623596"
"82","","","","","","","","","","","","","1863","1863","1863","0.537805438041687","0.537805438041687","0.537805438041687"
"83","","","","","","","","","","","","","1885","1885","1885","0.5373842120170593","0.5373842120170593","0.5373842120170593"
"84","","","","","","","","","","","","","1908","1908","1908","0.539650559425354","0.539650559425354","0.539650559425354"
"85","","","","","","","","","","","","","1930","1930","1930","0.5383650064468384","0.5383650064468384","0.5383650064468384"
"86","","","","","","","","","","","","","1953","1953","1953","0.5349314212799072","0.5349314212799072","0.5349314212799072"
"87","","","","","","","","","","","","","1975","1975","1975","0.5383633375167847","0.5383633375167847","0.5383633375167847"
"88","","","","","","","","","","","","","1997","1997","1997","0.5373529195785522","0.5373529195785522","0.5373529195785522"
"89","","","","","","","","","","","","","2020","2020","2020","0.5376924872398376","0.5376924872398376","0.5376924872398376"
"90","","","","","","","","","","","","","2042","2042","2042","0.5387426614761353","0.5387426614761353","0.5387426614761353"
"91","","","","","","","","","","","","","2065","2065","2065","0.5401368141174316","0.5401368141174316","0.5401368141174316"
"92","","","","","","","","","","","","","2087","2087","2087","0.5399059653282166","0.5399059653282166","0.5399059653282166"
"93","","","","","","","","","","","","","2110","2110","2110","0.540645182132721","0.540645182132721","0.540645182132721"
"94","","","","","","","","","","","","","2132","2132","2132","0.5439091920852661","0.5439091920852661","0.5439091920852661"
"95","","","","","","","","","","","","","2155","2155","2155","0.5468220710754395","0.5468220710754395","0.5468220710754395"
"96","","","","","","","","","","","","","2177","2177","2177","0.5438098311424255","0.5438098311424255","0.5438098311424255"
"97","","","","","","","","","","","","","2200","2200","2200","0.5452092885971069","0.5452092885971069","0.5452092885971069"
"98","","","","","","","","","","","","","2222","2222","2222","0.544074296951294","0.544074296951294","0.544074296951294"
"99","","","","","","","","","","","","","2245","2245","2245","0.5467613339424133","0.5467613339424133","0.5467613339424133"
"100","","","","","","","","","","","","","2267","2267","2267","0.5471872091293335","0.5471872091293335","0.5471872091293335"
"101","","","","","","","","","","","","","2289","2289","2289","0.5527105927467346","0.5527105927467346","0.5527105927467346"
"102","","","","","","","","","","","","","2312","2312","2312","0.5467696189880371","0.5467696189880371","0.5467696189880371"
"103","","","","","","","","","","","","","2334","2334","2334","0.545448362827301","0.545448362827301","0.545448362827301"
"104","","","","","","","","","","","","","2357","2357","2357","0.5464086532592773","0.5464086532592773","0.5464086532592773"
"105","","","","","","","","","","","","","2379","2379","2379","0.5443698167800903","0.5443698167800903","0.5443698167800903"
"106","","","","","","","","","","","","","2402","2402","2402","0.5455685257911682","0.5455685257911682","0.5455685257911682"
"107","","","","","","","","","","","","","2424","2424","2424","0.5454657673835754","0.5454657673835754","0.5454657673835754"
"108","","","","","","","","","","","","","2447","2447","2447","0.5482609272003174","0.5482609272003174","0.5482609272003174"
"109","","","","","","","","","","","","","2469","2469","2469","0.5470581650733948","0.5470581650733948","0.5470581650733948"
"110","","","","","","","","","","","","","2492","2492","2492","0.5486496686935425","0.5486496686935425","0.5486496686935425"
"111","","","","","","","","","","","","","2514","2514","2514","0.5509517192840576","0.5509517192840576","0.5509517192840576"
"112","","","","","","","","","","","","","2536","2536","2536","0.5496706366539001","0.5496706366539001","0.5496706366539001"
"113","","","","","","","","","","","","","2559","2559","2559","0.5503865480422974","0.5503865480422974","0.5503865480422974"
"114","","","","","","","","","","","","","2581","2581","2581","0.5472965240478516","0.5472965240478516","0.5472965240478516"
"115","","","","","","","","","","","","","2604","2604","2604","0.5480535626411438","0.5480535626411438","0.5480535626411438"
"116","","","","","","","","","","","","","2626","2626","2626","0.5468902587890625","0.5468902587890625","0.5468902587890625"
"117","","","","","","","","","","","","","2649","2649","2649","0.5496476292610168","0.5496476292610168","0.5496476292610168"
"118","","","","","","","","","","","","","2671","2671","2671","0.5526922345161438","0.5526922345161438","0.5526922345161438"
"119","","","","","","","","","","","","","2694","2694","2694","0.5537856221199036","0.5537856221199036","0.5537856221199036"
"120","","","","","","","","","","","","","2716","2716","2716","0.5526471138000488","0.5526471138000488","0.5526471138000488"
"121","","","","","","","","","","","","","2739","2739","2739","0.5523322820663452","0.5523322820663452","0.5523322820663452"
"122","","","","","","","","","","","","","2761","2761","2761","0.556640625","0.556640625","0.556640625"
"123","","","","","","","","","","","","","2784","2784","2784","0.5546922087669373","0.5546922087669373","0.5546922087669373"
"124","","","","","","","","","","","","","2806","2806","2806","0.551335871219635","0.551335871219635","0.551335871219635"
"125","","","","","","","","","","","","","2828","2828","2828","0.5511004328727722","0.5511004328727722","0.5511004328727722"
"126","","","","","","","","","","","","","2851","2851","2851","0.5529122352600098","0.5529122352600098","0.5529122352600098"
"127","","","","","","","","","","","","","2873","2873","2873","0.5526424646377563","0.5526424646377563","0.5526424646377563"
"128","","","","","","","","","","","","","2896","2896","2896","0.5532242059707642","0.5532242059707642","0.5532242059707642"
"129","","","","","","","","","","","","","2918","2918","2918","0.5550800561904907","0.5550800561904907","0.5550800561904907"
"130","","","","","","","","","","","","","2941","2941","2941","0.5554110407829285","0.5554110407829285","0.5554110407829285"
"131","","","","","","","","","","","","","2963","2963","2963","0.557931125164032","0.557931125164032","0.557931125164032"
"132","","","","","","","","","","","","","2986","2986","2986","0.5583370923995972","0.5583370923995972","0.5583370923995972"
"133","","","","","","","","","","","","","3008","3008","3008","0.5617712140083313","0.5617712140083313","0.5617712140083313"
"134","","","","","","","","","","","","","3031","3031","3031","0.5592750310897827","0.5592750310897827","0.5592750310897827"
"135","","","","","","","","","","","","","3053","3053","3053","0.5610319972038269","0.5610319972038269","0.5610319972038269"
"136","","","","","","","","","","","","","3076","3076","3076","0.5663861036300659","0.5663861036300659","0.5663861036300659"
"137","","","","","","","","","","","","","3098","3098","3098","0.5713083148002625","0.5713083148002625","0.5713083148002625"
"138","","","","","","","","","","","","","3120","3120","3120","0.5660169124603271","0.5660169124603271","0.5660169124603271"
"139","","","","","","","","","","","","","3143","3143","3143","0.5679272413253784","0.5679272413253784","0.5679272413253784"
"140","","","","","","","","","","","","","3165","3165","3165","0.5662379860877991","0.5662379860877991","0.5662379860877991"
"141","","","","","","","","","","","","","3188","3188","3188","0.5669047236442566","0.5669047236442566","0.5669047236442566"
"142","","","","","","","","","","","","","3210","3210","3210","0.5661877989768982","0.5661877989768982","0.5661877989768982"
"143","","","","","","","","","","","","","3233","3233","3233","0.5651060342788696","0.5651060342788696","0.5651060342788696"
"144","","","","","","","","","","","","","3255","3255","3255","0.5598800182342529","0.5598800182342529","0.5598800182342529"
"145","","","","","","","","","","","","","3278","3278","3278","0.5603739619255066","0.5603739619255066","0.5603739619255066"
"146","","","","","","","","","","","","","3300","3300","3300","0.560623288154602","0.560623288154602","0.560623288154602"
"147","","","","","","","","","","","","","3323","3323","3323","0.5610423684120178","0.5610423684120178","0.5610423684120178"
"148","","","","","","","","","","","","","3345","3345","3345","0.5617703795433044","0.5617703795433044","0.5617703795433044"
"149","","","","","","","","","","","","","3368","3368","3368","0.5561414361000061","0.5561414361000061","0.5561414361000061"
"150","","","","","","","","","","","","","3390","3390","3390","0.5589374303817749","0.5589374303817749","0.5589374303817749"
"151","","","","","","","","","","","","","3412","3412","3412","0.5540693998336792","0.5540693998336792","0.5540693998336792"
"152","","","","","","","","","","","","","3435","3435","3435","0.5560541152954102","0.5560541152954102","0.5560541152954102"
"153","","","","","","","","","","","","","3457","3457","3457","0.5541523694992065","0.5541523694992065","0.5541523694992065"
"154","","","","","","","","","","","","","3480","3480","3480","0.5563008785247803","0.5563008785247803","0.5563008785247803"
"155","","","","","","","","","","","","","3502","3502","3502","0.5564577579498291","0.5564577579498291","0.5564577579498291"
"156","","","","","","","","","","","","","3525","3525","3525","0.5572266578674316","0.5572266578674316","0.5572266578674316"
"157","","","","","","","","","","","","","3547","3547","3547","0.555254340171814","0.555254340171814","0.555254340171814"
"158","","","","","","","","","","","","","3570","3570","3570","0.5527371764183044","0.5527371764183044","0.5527371764183044"
"159","","","","","","","","","","","","","3592","3592","3592","0.5561386942863464","0.5561386942863464","0.5561386942863464"
"160","","","","","","","","","","","","","3615","3615","3615","0.5552970767021179","0.5552970767021179","0.5552970767021179"
"161","","","","","","","","","","","","","3637","3637","3637","0.5548368692398071","0.5548368692398071","0.5548368692398071"
"162","","","","","","","","","","","","","3659","3659","3659","0.5529705286026001","0.5529705286026001","0.5529705286026001"
"163","","","","","","","","","","","","","3682","3682","3682","0.5537610054016113","0.5537610054016113","0.5537610054016113"
"164","","","","","","","","","","","","","3704","3704","3704","0.556041419506073","0.556041419506073","0.556041419506073"
"165","","","","","","","","","","","","","3727","3727","3727","0.5597122311592102","0.5597122311592102","0.5597122311592102"
"166","","","","","","","","","","","","","3749","3749","3749","0.5579419136047363","0.5579419136047363","0.5579419136047363"
"167","","","","","","","","","","","","","3772","3772","3772","0.5579109787940979","0.5579109787940979","0.5579109787940979"
"168","","","","","","","","","","","","","3794","3794","3794","0.5578774809837341","0.5578774809837341","0.5578774809837341"
"169","","","","","","","","","","","","","3817","3817","3817","0.5660609006881714","0.5660609006881714","0.5660609006881714"
"170","","","","","","","","","","","","","3839","3839","3839","0.5564863681793213","0.5564863681793213","0.5564863681793213"
"171","","","","","","","","","","","","","3862","3862","3862","0.5543768405914307","0.5543768405914307","0.5543768405914307"
"172","","","","","","","","","","","","","3884","3884","3884","0.5598646402359009","0.5598646402359009","0.5598646402359009"
"173","","","","","","","","","","","","","3907","3907","3907","0.5615776777267456","0.5615776777267456","0.5615776777267456"
"174","","","","","","","","","","","","","3929","3929","3929","0.5609660148620605","0.5609660148620605","0.5609660148620605"
"175","","","","","","","","","","","","","3951","3951","3951","0.55735182762146","0.55735182762146","0.55735182762146"
"176","","","","","","","","","","","","","3974","3974","3974","0.5576139092445374","0.5576139092445374","0.5576139092445374"
"177","","","","","","","","","","","","","3996","3996","3996","0.567879319190979","0.567879319190979","0.567879319190979"
"178","","","","","","","","","","","","","4019","4019","4019","0.5599656105041504","0.5599656105041504","0.5599656105041504"
"179","","","","","","","","","","","","","4041","4041","4041","0.5666341781616211","0.5666341781616211","0.5666341781616211"
"180","","","","","","","","","","","","","4064","4064","4064","0.5696119070053101","0.5696119070053101","0.5696119070053101"
"181","","","","","","","","","","","","","4086","4086","4086","0.5694280862808228","0.5694280862808228","0.5694280862808228"
"182","","","","","","","","","","","","","4109","4109","4109","0.572467029094696","0.572467029094696","0.572467029094696"
"183","","","","","","","","","","","","","4131","4131","4131","0.5707828998565674","0.5707828998565674","0.5707828998565674"
"184","","","","","","","","","","","","","4154","4154","4154","0.5673686265945435","0.5673686265945435","0.5673686265945435"
"185","","","","","","","","","","","","","4176","4176","4176","0.5699362754821777","0.5699362754821777","0.5699362754821777"
"186","","","","","","","","","","","","","4199","4199","4199","0.5731762051582336","0.5731762051582336","0.5731762051582336"
"187","","","","","","","","","","","","","4221","4221","4221","0.5745099186897278","0.5745099186897278","0.5745099186897278"
"188","","","","","","","","","","","","","4243","4243","4243","0.571954607963562","0.571954607963562","0.571954607963562"
"189","","","","","","","","","","","","","4266","4266","4266","0.5750035047531128","0.5750035047531128","0.5750035047531128"
"190","","","","","","","","","","","","","4288","4288","4288","0.5703971982002258","0.5703971982002258","0.5703971982002258"
"191","","","","","","","","","","","","","4311","4311","4311","0.5739191770553589","0.5739191770553589","0.5739191770553589"
"192","","","","","","","","","","","","","4333","4333","4333","0.5739989876747131","0.5739989876747131","0.5739989876747131"
"193","","","","","","","","","","","","","4356","4356","4356","0.5721835494041443","0.5721835494041443","0.5721835494041443"
"194","","","","","","","","","","","","","4378","4378","4378","0.5736135840415955","0.5736135840415955","0.5736135840415955"
"195","","","","","","","","","","","","","4401","4401","4401","0.5748584270477295","0.5748584270477295","0.5748584270477295"
"196","","","","","","","","","","","","","4423","4423","4423","0.5743449330329895","0.5743449330329895","0.5743449330329895"
