"epoch","16/05 17:25:53 Standard (weights)3 (continued899) - _step","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MAX","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_rnn_block.col_norm.0.weight_norm","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_rnn_block.col_norm.0.weight_norm__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_rnn_block.col_norm.0.weight_norm__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - _step","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_rnn_block.col_norm.0.weight_norm","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_rnn_block.col_norm.0.weight_norm__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_rnn_block.col_norm.0.weight_norm__MAX","29/04 10:06:37 Standard (weights)1 - _step","29/04 10:06:37 Standard (weights)1 - _step__MIN","29/04 10:06:37 Standard (weights)1 - _step__MAX","29/04 10:06:37 Standard (weights)1 - Generator_rnn_block.col_norm.0.weight_norm","29/04 10:06:37 Standard (weights)1 - Generator_rnn_block.col_norm.0.weight_norm__MIN","29/04 10:06:37 Standard (weights)1 - Generator_rnn_block.col_norm.0.weight_norm__MAX"
"127","","","","","","","","","","","","","2873","2873","2873","11.397027969360352","11.397027969360352","11.397027969360352"
"128","","","","","","","","","","","","","2896","2896","2896","11.398421287536621","11.398421287536621","11.398421287536621"
"129","","","","","","","","","","","","","2918","2918","2918","11.397846221923828","11.397846221923828","11.397846221923828"
"130","","","","","","","","","","","","","2941","2941","2941","11.399726867675781","11.399726867675781","11.399726867675781"
"131","","","","","","","","","","","","","2963","2963","2963","11.40017318725586","11.40017318725586","11.40017318725586"
"132","","","","","","","","","","","","","2986","2986","2986","11.399670600891113","11.399670600891113","11.399670600891113"
"133","","","","","","","","","","","","","3008","3008","3008","11.398874282836914","11.398874282836914","11.398874282836914"
"134","","","","","","","","","","","","","3031","3031","3031","11.40036678314209","11.40036678314209","11.40036678314209"
"135","","","","","","","","","","","","","3053","3053","3053","11.4013090133667","11.4013090133667","11.4013090133667"
"136","","","","","","","","","","","","","3076","3076","3076","11.404365539550781","11.404365539550781","11.404365539550781"
"137","","","","","","","","","","","","","3098","3098","3098","11.405426025390625","11.405426025390625","11.405426025390625"
"138","","","","","","","","","","","","","3120","3120","3120","11.404373168945312","11.404373168945312","11.404373168945312"
"139","","","","","","","","","","","","","3143","3143","3143","11.405783653259277","11.405783653259277","11.405783653259277"
"140","","","","","","","","","","","","","3165","3165","3165","11.406593322753906","11.406593322753906","11.406593322753906"
"141","","","","","","","","","","","","","3188","3188","3188","11.408671379089355","11.408671379089355","11.408671379089355"
"142","","","","","","","","","","","","","3210","3210","3210","11.40866470336914","11.40866470336914","11.40866470336914"
"143","","","","","","","","","","","","","3233","3233","3233","11.408709526062012","11.408709526062012","11.408709526062012"
"144","","","","","","","","","","","","","3255","3255","3255","11.40950870513916","11.40950870513916","11.40950870513916"
"145","","","","","","","","","","","","","3278","3278","3278","11.410374641418457","11.410374641418457","11.410374641418457"
"146","","","","","","","","","","","","","3300","3300","3300","11.413829803466797","11.413829803466797","11.413829803466797"
"147","","","","","","","","","","","","","3323","3323","3323","11.412269592285156","11.412269592285156","11.412269592285156"
"148","","","","","","","","","","","","","3345","3345","3345","11.4126615524292","11.4126615524292","11.4126615524292"
"149","","","","","","","","","","","","","3368","3368","3368","11.415223121643066","11.415223121643066","11.415223121643066"
"150","","","","","","","","","","","","","3390","3390","3390","11.414420127868652","11.414420127868652","11.414420127868652"
"151","","","","","","","","","","","","","3412","3412","3412","11.416422843933105","11.416422843933105","11.416422843933105"
"152","","","","","","","","","","","","","3435","3435","3435","11.416532516479492","11.416532516479492","11.416532516479492"
"153","","","","","","","","","","","","","3457","3457","3457","11.418152809143066","11.418152809143066","11.418152809143066"
"154","","","","","","","","","","","","","3480","3480","3480","11.418375968933105","11.418375968933105","11.418375968933105"
"155","","","","","","","","","","","","","3502","3502","3502","11.417899131774902","11.417899131774902","11.417899131774902"
"156","","","","","","","","","","","","","3525","3525","3525","11.41832160949707","11.41832160949707","11.41832160949707"
"157","","","","","","","","","","","","","3547","3547","3547","11.41885757446289","11.41885757446289","11.41885757446289"
"158","","","","","","","","","","","","","3570","3570","3570","11.420692443847656","11.420692443847656","11.420692443847656"
"159","","","","","","","","","","","","","3592","3592","3592","11.419513702392578","11.419513702392578","11.419513702392578"
"160","","","","","","","","","","","","","3615","3615","3615","11.420111656188965","11.420111656188965","11.420111656188965"
"161","","","","","","","","","","","","","3637","3637","3637","11.42103385925293","11.42103385925293","11.42103385925293"
"162","","","","","","","","","","","","","3659","3659","3659","11.422404289245605","11.422404289245605","11.422404289245605"
"163","","","","","","","","","","","","","3682","3682","3682","11.423921585083008","11.423921585083008","11.423921585083008"
"164","","","","","","","","","","","","","3704","3704","3704","11.422640800476074","11.422640800476074","11.422640800476074"
"165","","","","","","","","","","","","","3727","3727","3727","11.421065330505371","11.421065330505371","11.421065330505371"
"166","","","","","","","","","","","","","3749","3749","3749","11.423624038696289","11.423624038696289","11.423624038696289"
"167","","","","","","","","","","","","","3772","3772","3772","11.426467895507812","11.426467895507812","11.426467895507812"
"168","","","","","","","","","","","","","3794","3794","3794","11.42586612701416","11.42586612701416","11.42586612701416"
"169","","","","","","","","","","","","","3817","3817","3817","11.426840782165527","11.426840782165527","11.426840782165527"
"170","","","","","","","","","","","","","3839","3839","3839","11.426586151123047","11.426586151123047","11.426586151123047"
"171","","","","","","","","","","","","","3862","3862","3862","11.426787376403809","11.426787376403809","11.426787376403809"
"172","","","","","","","","","","","","","3884","3884","3884","11.428560256958008","11.428560256958008","11.428560256958008"
"173","","","","","","","","","","","","","3907","3907","3907","11.428171157836914","11.428171157836914","11.428171157836914"
"174","","","","","","","","","","","","","3929","3929","3929","11.428671836853027","11.428671836853027","11.428671836853027"
"175","","","","","","","","","","","","","3951","3951","3951","11.432044982910156","11.432044982910156","11.432044982910156"
"176","","","","","","","","","","","","","3974","3974","3974","11.428722381591797","11.428722381591797","11.428722381591797"
"177","","","","","","","","","","","","","3996","3996","3996","11.429715156555176","11.429715156555176","11.429715156555176"
"178","","","","","","","","","","","","","4019","4019","4019","11.429951667785645","11.429951667785645","11.429951667785645"
"179","","","","","","","","","","","","","4041","4041","4041","11.429563522338867","11.429563522338867","11.429563522338867"
"180","","","","","","","","","","","","","4064","4064","4064","11.43002700805664","11.43002700805664","11.43002700805664"
"181","","","","","","","","","","","","","4086","4086","4086","11.431076049804688","11.431076049804688","11.431076049804688"
"182","","","","","","","","","","","","","4109","4109","4109","11.429838180541992","11.429838180541992","11.429838180541992"
"183","","","","","","","","","","","","","4131","4131","4131","11.432319641113281","11.432319641113281","11.432319641113281"
"184","","","","","","","","","","","","","4154","4154","4154","11.431628227233887","11.431628227233887","11.431628227233887"
"185","","","","","","","","","","","","","4176","4176","4176","11.431703567504883","11.431703567504883","11.431703567504883"
"186","","","","","","","","","","","","","4199","4199","4199","11.43305492401123","11.43305492401123","11.43305492401123"
"187","","","","","","","","","","","","","4221","4221","4221","11.431907653808594","11.431907653808594","11.431907653808594"
"188","","","","","","","","","","","","","4243","4243","4243","11.434891700744629","11.434891700744629","11.434891700744629"
"189","","","","","","","","","","","","","4266","4266","4266","11.43777847290039","11.43777847290039","11.43777847290039"
"190","","","","","","","","","","","","","4288","4288","4288","11.434745788574219","11.434745788574219","11.434745788574219"
"191","","","","","","","","","","","","","4311","4311","4311","11.434528350830078","11.434528350830078","11.434528350830078"
"192","","","","","","","","","","","","","4333","4333","4333","11.435578346252441","11.435578346252441","11.435578346252441"
"193","","","","","","","","","","","","","4356","4356","4356","11.435469627380371","11.435469627380371","11.435469627380371"
"194","","","","","","","","","","","","","4378","4378","4378","11.434747695922852","11.434747695922852","11.434747695922852"
"195","","","","","","","","","","","","","4401","4401","4401","11.437798500061035","11.437798500061035","11.437798500061035"
"196","","","","","","","","","","","","","4423","4423","4423","11.437701225280762","11.437701225280762","11.437701225280762"
"197","","","","","","","","","","","","","4446","4446","4446","11.438573837280273","11.438573837280273","11.438573837280273"
"198","","","","","","","","","","","","","4468","4468","4468","11.439631462097168","11.439631462097168","11.439631462097168"
"199","","","","","","","","","","","","","4491","4491","4491","11.443235397338867","11.443235397338867","11.443235397338867"
"200","","","","","","","","","","","","","4513","4513","4513","11.441981315612793","11.441981315612793","11.441981315612793"
"201","","","","","","","","","","","","","4535","4535","4535","11.442961692810059","11.442961692810059","11.442961692810059"
"202","","","","","","","","","","","","","4558","4558","4558","11.444064140319824","11.444064140319824","11.444064140319824"
"203","","","","","","","","","","","","","4580","4580","4580","11.444437026977539","11.444437026977539","11.444437026977539"
"204","","","","","","","","","","","","","4603","4603","4603","11.446099281311035","11.446099281311035","11.446099281311035"
"205","","","","","","","","","","","","","4625","4625","4625","11.44282054901123","11.44282054901123","11.44282054901123"
"206","","","","","","","","","","","","","4648","4648","4648","11.443416595458984","11.443416595458984","11.443416595458984"
"207","","","","","","","","","","","","","4670","4670","4670","11.442737579345703","11.442737579345703","11.442737579345703"
"208","","","","","","","","","","","","","4693","4693","4693","11.444223403930664","11.444223403930664","11.444223403930664"
"209","","","","","","","","","","","","","4715","4715","4715","11.445603370666504","11.445603370666504","11.445603370666504"
"210","","","","","","","","","","","","","4738","4738","4738","11.444889068603516","11.444889068603516","11.444889068603516"
"211","","","","","","","","","","","","","4760","4760","4760","11.44483470916748","11.44483470916748","11.44483470916748"
"212","","","","","","","","","","","","","4782","4782","4782","11.445528984069824","11.445528984069824","11.445528984069824"
"213","","","","","","","","","","","","","4805","4805","4805","11.4449462890625","11.4449462890625","11.4449462890625"
"214","","","","","","","","","","","","","4827","4827","4827","11.446578025817871","11.446578025817871","11.446578025817871"
"215","","","","","","","","","","","","","4850","4850","4850","11.447668075561523","11.447668075561523","11.447668075561523"
