"epoch","02/05 09:08:20 - training only generator - _step","02/05 09:08:20 - training only generator - _step__MIN","02/05 09:08:20 - training only generator - _step__MAX","02/05 09:08:20 - training only generator - Fidelity Loss","02/05 09:08:20 - training only generator - Fidelity Loss__MIN","02/05 09:08:20 - training only generator - Fidelity Loss__MAX"
"281","1412","1412","1412","730369.125","730369.125","730369.125"
"282","1417","1417","1417","729480","729480","729480"
"283","1422","1422","1422","729590.375","729590.375","729590.375"
"284","1427","1427","1427","729291.9375","729291.9375","729291.9375"
"285","1432","1432","1432","729207","729207","729207"
"286","1437","1437","1437","729257.9375","729257.9375","729257.9375"
"287","1442","1442","1442","730064.4375","730064.4375","730064.4375"
"288","1447","1447","1447","729904.75","729904.75","729904.75"
"289","1452","1452","1452","729462.625","729462.625","729462.625"
"290","1457","1457","1457","729150.3125","729150.3125","729150.3125"
"291","1462","1462","1462","728843.125","728843.125","728843.125"
"292","1467","1467","1467","727663.25","727663.25","727663.25"
"293","1472","1472","1472","728798.125","728798.125","728798.125"
"294","1477","1477","1477","730015.6875","730015.6875","730015.6875"
"295","1482","1482","1482","728127.5","728127.5","728127.5"
"296","1487","1487","1487","727718.75","727718.75","727718.75"
"297","1492","1492","1492","728118.3125","728118.3125","728118.3125"
"298","1497","1497","1497","727642.625","727642.625","727642.625"
"299","1502","1502","1502","728829.5","728829.5","728829.5"
"300","1507","1507","1507","728385.625","728385.625","728385.625"
"301","1512","1512","1512","727426.9375","727426.9375","727426.9375"
"302","1517","1517","1517","726953","726953","726953"
"303","1522","1522","1522","727711.625","727711.625","727711.625"
"304","1527","1527","1527","728608.5625","728608.5625","728608.5625"
"305","1532","1532","1532","727540.875","727540.875","727540.875"
"306","1537","1537","1537","727375.5625","727375.5625","727375.5625"
"307","1542","1542","1542","727189.3125","727189.3125","727189.3125"
"308","1547","1547","1547","727856.625","727856.625","727856.625"
"309","1552","1552","1552","726568.5625","726568.5625","726568.5625"
"310","1557","1557","1557","727468.1875","727468.1875","727468.1875"
"311","1562","1562","1562","725354","725354","725354"
"312","1567","1567","1567","726596.625","726596.625","726596.625"
