"epoch","18/04 13:01:40 - training only discriminator - _step","18/04 13:01:40 - training only discriminator - _step__MIN","18/04 13:01:40 - training only discriminator - _step__MAX","18/04 13:01:40 - training only discriminator - D_Fake","18/04 13:01:40 - training only discriminator - D_Fake__MIN","18/04 13:01:40 - training only discriminator - D_Fake__MAX"
"110","221","221","221","-604.212890625","-604.212890625","-604.212890625"
"111","223","223","223","-604.214599609375","-604.214599609375","-604.214599609375"
"112","225","225","225","-602.1783447265625","-602.1783447265625","-602.1783447265625"
"113","227","227","227","-603.5531616210938","-603.5531616210938","-603.5531616210938"
"114","229","229","229","-603.5132446289062","-603.5132446289062","-603.5132446289062"
"115","231","231","231","-604.2908935546875","-604.2908935546875","-604.2908935546875"
"116","233","233","233","-603.8087158203125","-603.8087158203125","-603.8087158203125"
"117","235","235","235","-603.44091796875","-603.44091796875","-603.44091796875"
"118","237","237","237","-604.32373046875","-604.32373046875","-604.32373046875"
"119","239","239","239","-605.4136352539062","-605.4136352539062","-605.4136352539062"
"120","241","241","241","-604.7665405273438","-604.7665405273438","-604.7665405273438"
"121","243","243","243","-604.5005493164062","-604.5005493164062","-604.5005493164062"
"122","245","245","245","-603.5870971679688","-603.5870971679688","-603.5870971679688"
"123","247","247","247","-604.7756958007812","-604.7756958007812","-604.7756958007812"
"124","249","249","249","-604.8558349609375","-604.8558349609375","-604.8558349609375"
"125","251","251","251","-605.367431640625","-605.367431640625","-605.367431640625"
"126","253","253","253","-606.5704345703125","-606.5704345703125","-606.5704345703125"
"127","255","255","255","-605.9996337890625","-605.9996337890625","-605.9996337890625"
"128","257","257","257","-604.9973754882812","-604.9973754882812","-604.9973754882812"
"129","259","259","259","-605.4638061523438","-605.4638061523438","-605.4638061523438"
"130","261","261","261","-607.9737548828125","-607.9737548828125","-607.9737548828125"
"131","263","263","263","-604.390625","-604.390625","-604.390625"
"132","265","265","265","-606.857666015625","-606.857666015625","-606.857666015625"
"133","267","267","267","-606.03466796875","-606.03466796875","-606.03466796875"
"134","269","269","269","-606.2318115234375","-606.2318115234375","-606.2318115234375"
"135","271","271","271","-605.6038818359375","-605.6038818359375","-605.6038818359375"
"136","273","273","273","-605.9912109375","-605.9912109375","-605.9912109375"
"137","275","275","275","-606.2332153320312","-606.2332153320312","-606.2332153320312"
"138","277","277","277","-607.3681030273438","-607.3681030273438","-607.3681030273438"
"139","279","279","279","-606.6715087890625","-606.6715087890625","-606.6715087890625"
"140","281","281","281","-606.53369140625","-606.53369140625","-606.53369140625"
"141","283","283","283","-606.8690185546875","-606.8690185546875","-606.8690185546875"
"142","285","285","285","-607.5368041992188","-607.5368041992188","-607.5368041992188"
"143","287","287","287","-607.6475219726562","-607.6475219726562","-607.6475219726562"
"144","289","289","289","-606.94921875","-606.94921875","-606.94921875"
"145","291","291","291","-607.8992919921875","-607.8992919921875","-607.8992919921875"
"146","293","293","293","-608.516357421875","-608.516357421875","-608.516357421875"
"147","295","295","295","-608.851806640625","-608.851806640625","-608.851806640625"
"148","297","297","297","-607.3994750976562","-607.3994750976562","-607.3994750976562"
"149","299","299","299","-609.3223876953125","-609.3223876953125","-609.3223876953125"
"150","301","301","301","-609.4580078125","-609.4580078125","-609.4580078125"
"151","303","303","303","-608.9961547851562","-608.9961547851562","-608.9961547851562"
"152","305","305","305","-609.1635131835938","-609.1635131835938","-609.1635131835938"
"153","307","307","307","-610.5639038085938","-610.5639038085938","-610.5639038085938"
"154","309","309","309","-608.8855590820312","-608.8855590820312","-608.8855590820312"
"155","311","311","311","-610.1781616210938","-610.1781616210938","-610.1781616210938"
"156","313","313","313","-608.5775146484375","-608.5775146484375","-608.5775146484375"
"157","315","315","315","-610.3248901367188","-610.3248901367188","-610.3248901367188"
"158","317","317","317","-607.7153930664062","-607.7153930664062","-607.7153930664062"
"159","319","319","319","-610.2223510742188","-610.2223510742188","-610.2223510742188"
"160","321","321","321","-609.8327026367188","-609.8327026367188","-609.8327026367188"
"161","323","323","323","-609.9865112304688","-609.9865112304688","-609.9865112304688"
"162","325","325","325","-609.9802856445312","-609.9802856445312","-609.9802856445312"
"163","327","327","327","-609.5596923828125","-609.5596923828125","-609.5596923828125"
"164","329","329","329","-610.55517578125","-610.55517578125","-610.55517578125"
"165","331","331","331","-609.9143676757812","-609.9143676757812","-609.9143676757812"
"166","333","333","333","-610.9393310546875","-610.9393310546875","-610.9393310546875"
