"epoch","18/04 13:01:40 - training only discriminator - _step","18/04 13:01:40 - training only discriminator - _step__MIN","18/04 13:01:40 - training only discriminator - _step__MAX","18/04 13:01:40 - training only discriminator - D_Real","18/04 13:01:40 - training only discriminator - D_Real__MIN","18/04 13:01:40 - training only discriminator - D_Real__MAX"
"197","395","395","395","-285.85223388671875","-285.85223388671875","-285.85223388671875"
"198","397","397","397","-286.36993408203125","-286.36993408203125","-286.36993408203125"
"199","399","399","399","-285.9975891113281","-285.9975891113281","-285.9975891113281"
"200","401","401","401","-286.2459716796875","-286.2459716796875","-286.2459716796875"
"201","403","403","403","-286.40216064453125","-286.40216064453125","-286.40216064453125"
"202","405","405","405","-285.399169921875","-285.399169921875","-285.399169921875"
"203","407","407","407","-286.1484680175781","-286.1484680175781","-286.1484680175781"
"204","409","409","409","-286.3069763183594","-286.3069763183594","-286.3069763183594"
"205","411","411","411","-286.0526123046875","-286.0526123046875","-286.0526123046875"
"206","413","413","413","-285.6111145019531","-285.6111145019531","-285.6111145019531"
"207","415","415","415","-286.3221740722656","-286.3221740722656","-286.3221740722656"
"208","417","417","417","-286.90948486328125","-286.90948486328125","-286.90948486328125"
"209","419","419","419","-285.0738525390625","-285.0738525390625","-285.0738525390625"
"210","421","421","421","-286.6256408691406","-286.6256408691406","-286.6256408691406"
"211","423","423","423","-286.75262451171875","-286.75262451171875","-286.75262451171875"
"212","425","425","425","-286.3972473144531","-286.3972473144531","-286.3972473144531"
"213","427","427","427","-285.525634765625","-285.525634765625","-285.525634765625"
"214","429","429","429","-286.293701171875","-286.293701171875","-286.293701171875"
"215","431","431","431","-286.4859619140625","-286.4859619140625","-286.4859619140625"
"216","433","433","433","-287.0982971191406","-287.0982971191406","-287.0982971191406"
"217","435","435","435","-286.1532287597656","-286.1532287597656","-286.1532287597656"
"218","437","437","437","-285.83251953125","-285.83251953125","-285.83251953125"
"219","439","439","439","-286.4158020019531","-286.4158020019531","-286.4158020019531"
"220","441","441","441","-286.4371643066406","-286.4371643066406","-286.4371643066406"
"221","443","443","443","-284.8986511230469","-284.8986511230469","-284.8986511230469"
"222","445","445","445","-286.472412109375","-286.472412109375","-286.472412109375"
"223","447","447","447","-285.6300354003906","-285.6300354003906","-285.6300354003906"
"224","449","449","449","-285.982421875","-285.982421875","-285.982421875"
"225","451","451","451","-285.84942626953125","-285.84942626953125","-285.84942626953125"
"226","453","453","453","-286.2421875","-286.2421875","-286.2421875"
"227","455","455","455","-286.4321594238281","-286.4321594238281","-286.4321594238281"
"228","457","457","457","-285.6098327636719","-285.6098327636719","-285.6098327636719"
