"epoch","18/04 13:01:40 - training only discriminator - _step","18/04 13:01:40 - training only discriminator - _step__MIN","18/04 13:01:40 - training only discriminator - _step__MAX","18/04 13:01:40 - training only discriminator - D_Loss","18/04 13:01:40 - training only discriminator - D_Loss__MIN","18/04 13:01:40 - training only discriminator - D_Loss__MAX"
"721","1443","1443","1443","-241.7431640625","-241.7431640625","-241.7431640625"
"722","1445","1445","1445","-240.4828643798828","-240.4828643798828","-240.4828643798828"
"723","1447","1447","1447","-241.55197143554688","-241.55197143554688","-241.55197143554688"
"724","1449","1449","1449","-241.19384765625","-241.19384765625","-241.19384765625"
"725","1451","1451","1451","-240.5802459716797","-240.5802459716797","-240.5802459716797"
"726","1453","1453","1453","-240.56484985351562","-240.56484985351562","-240.56484985351562"
"727","1455","1455","1455","-241.41403198242188","-241.41403198242188","-241.41403198242188"
"728","1457","1457","1457","-240.79396057128906","-240.79396057128906","-240.79396057128906"
"729","1459","1459","1459","-241.1637725830078","-241.1637725830078","-241.1637725830078"
"730","1461","1461","1461","-240.76402282714844","-240.76402282714844","-240.76402282714844"
"731","1463","1463","1463","-240.5426788330078","-240.5426788330078","-240.5426788330078"
"732","1465","1465","1465","-241.8314971923828","-241.8314971923828","-241.8314971923828"
"733","1467","1467","1467","-240.97067260742188","-240.97067260742188","-240.97067260742188"
"734","1469","1469","1469","-240.75196838378906","-240.75196838378906","-240.75196838378906"
"735","1471","1471","1471","-241.09982299804688","-241.09982299804688","-241.09982299804688"
"736","1473","1473","1473","-241.73988342285156","-241.73988342285156","-241.73988342285156"
"737","1475","1475","1475","-241.37998962402344","-241.37998962402344","-241.37998962402344"
"738","1477","1477","1477","-240.6761932373047","-240.6761932373047","-240.6761932373047"
"739","1479","1479","1479","-241.14471435546875","-241.14471435546875","-241.14471435546875"
"740","1481","1481","1481","-241.17918395996094","-241.17918395996094","-241.17918395996094"
"741","1483","1483","1483","-241.83155822753906","-241.83155822753906","-241.83155822753906"
"742","1485","1485","1485","-241.43345642089844","-241.43345642089844","-241.43345642089844"
"743","1487","1487","1487","-241.6914825439453","-241.6914825439453","-241.6914825439453"
"744","1489","1489","1489","-240.6643829345703","-240.6643829345703","-240.6643829345703"
"745","1491","1491","1491","-240.9975128173828","-240.9975128173828","-240.9975128173828"
"746","1493","1493","1493","-240.8058624267578","-240.8058624267578","-240.8058624267578"
"747","1495","1495","1495","-240.64300537109375","-240.64300537109375","-240.64300537109375"
"748","1497","1497","1497","-241.0741729736328","-241.0741729736328","-241.0741729736328"
"749","1499","1499","1499","-241.58953857421875","-241.58953857421875","-241.58953857421875"
"750","1501","1501","1501","-241.26344299316406","-241.26344299316406","-241.26344299316406"
"751","1503","1503","1503","-240.8887939453125","-240.8887939453125","-240.8887939453125"
"752","1505","1505","1505","-241.18490600585938","-241.18490600585938","-241.18490600585938"
"753","1507","1507","1507","-241.41465759277344","-241.41465759277344","-241.41465759277344"
"754","1509","1509","1509","-241.2309112548828","-241.2309112548828","-241.2309112548828"
"755","1511","1511","1511","-240.897216796875","-240.897216796875","-240.897216796875"
"756","1513","1513","1513","-241.6448974609375","-241.6448974609375","-241.6448974609375"
"757","1515","1515","1515","-240.82391357421875","-240.82391357421875","-240.82391357421875"
"758","1517","1517","1517","-241.2328338623047","-241.2328338623047","-241.2328338623047"
"759","1519","1519","1519","-240.8017120361328","-240.8017120361328","-240.8017120361328"
"760","1521","1521","1521","-241.02285766601562","-241.02285766601562","-241.02285766601562"
"761","1523","1523","1523","-240.8970184326172","-240.8970184326172","-240.8970184326172"
"762","1525","1525","1525","-241.1581573486328","-241.1581573486328","-241.1581573486328"
"763","1527","1527","1527","-240.88314819335938","-240.88314819335938","-240.88314819335938"
"764","1529","1529","1529","-240.57362365722656","-240.57362365722656","-240.57362365722656"
"765","1531","1531","1531","-240.85546875","-240.85546875","-240.85546875"
"766","1533","1533","1533","-241.6262969970703","-241.6262969970703","-241.6262969970703"
"767","1535","1535","1535","-241.03489685058594","-241.03489685058594","-241.03489685058594"
"768","1537","1537","1537","-241.56939697265625","-241.56939697265625","-241.56939697265625"
"769","1539","1539","1539","-241.03005981445312","-241.03005981445312","-241.03005981445312"
"770","1541","1541","1541","-241.21490478515625","-241.21490478515625","-241.21490478515625"
"771","1543","1543","1543","-240.86709594726562","-240.86709594726562","-240.86709594726562"
"772","1545","1545","1545","-240.83709716796875","-240.83709716796875","-240.83709716796875"
"773","1547","1547","1547","-241.3035888671875","-241.3035888671875","-241.3035888671875"
"774","1549","1549","1549","-240.8399658203125","-240.8399658203125","-240.8399658203125"
"775","1551","1551","1551","-240.646240234375","-240.646240234375","-240.646240234375"
"776","1553","1553","1553","-240.76478576660156","-240.76478576660156","-240.76478576660156"
"777","1555","1555","1555","-241.0634307861328","-241.0634307861328","-241.0634307861328"
"778","1557","1557","1557","-240.6767120361328","-240.6767120361328","-240.6767120361328"
"779","1559","1559","1559","-241.28021240234375","-241.28021240234375","-241.28021240234375"
"780","1561","1561","1561","-241.1410369873047","-241.1410369873047","-241.1410369873047"
"781","1563","1563","1563","-241.35475158691406","-241.35475158691406","-241.35475158691406"
"782","1565","1565","1565","-240.5986785888672","-240.5986785888672","-240.5986785888672"
"783","1567","1567","1567","-240.909423828125","-240.909423828125","-240.909423828125"
"784","1569","1569","1569","-241.8463592529297","-241.8463592529297","-241.8463592529297"
"785","1571","1571","1571","-241.5924072265625","-241.5924072265625","-241.5924072265625"
"786","1573","1573","1573","-240.54302978515625","-240.54302978515625","-240.54302978515625"
"787","1575","1575","1575","-241.63111877441406","-241.63111877441406","-241.63111877441406"
"788","1577","1577","1577","-241.32408142089844","-241.32408142089844","-241.32408142089844"
"789","1579","1579","1579","-240.8036651611328","-240.8036651611328","-240.8036651611328"
"790","1581","1581","1581","-241.24261474609375","-241.24261474609375","-241.24261474609375"
"791","1583","1583","1583","-240.580322265625","-240.580322265625","-240.580322265625"
"792","1585","1585","1585","-241.57704162597656","-241.57704162597656","-241.57704162597656"
"793","1587","1587","1587","-241.5409393310547","-241.5409393310547","-241.5409393310547"
"794","1589","1589","1589","-240.9762420654297","-240.9762420654297","-240.9762420654297"
"795","1591","1591","1591","-241.37759399414062","-241.37759399414062","-241.37759399414062"
"796","1593","1593","1593","-241.87538146972656","-241.87538146972656","-241.87538146972656"
"797","1595","1595","1595","-241.3512725830078","-241.3512725830078","-241.3512725830078"
"798","1597","1597","1597","-241.7387237548828","-241.7387237548828","-241.7387237548828"
"799","1599","1599","1599","-241.02735900878906","-241.02735900878906","-241.02735900878906"
"800","1601","1601","1601","-241.5246124267578","-241.5246124267578","-241.5246124267578"
"801","1603","1603","1603","-241.06443786621094","-241.06443786621094","-241.06443786621094"
"802","1605","1605","1605","-240.91744995117188","-240.91744995117188","-240.91744995117188"
"803","1607","1607","1607","-241.2444610595703","-241.2444610595703","-241.2444610595703"
"804","1609","1609","1609","-241.31936645507812","-241.31936645507812","-241.31936645507812"
"805","1611","1611","1611","-241.47274780273438","-241.47274780273438","-241.47274780273438"
"806","1613","1613","1613","-241.2740936279297","-241.2740936279297","-241.2740936279297"
"807","1615","1615","1615","-241.17845153808594","-241.17845153808594","-241.17845153808594"
"808","1617","1617","1617","-241.1458282470703","-241.1458282470703","-241.1458282470703"
"809","1619","1619","1619","-241.56240844726562","-241.56240844726562","-241.56240844726562"
"810","1621","1621","1621","-241.60354614257812","-241.60354614257812","-241.60354614257812"
"811","1623","1623","1623","-241.53834533691406","-241.53834533691406","-241.53834533691406"
"812","1625","1625","1625","-241.8710479736328","-241.8710479736328","-241.8710479736328"
"813","1627","1627","1627","-242.05018615722656","-242.05018615722656","-242.05018615722656"
"814","1629","1629","1629","-241.1371307373047","-241.1371307373047","-241.1371307373047"
"815","1631","1631","1631","-241.81121826171875","-241.81121826171875","-241.81121826171875"
"816","1633","1633","1633","-242.09463500976562","-242.09463500976562","-242.09463500976562"
"817","1635","1635","1635","-241.85232543945312","-241.85232543945312","-241.85232543945312"
"818","1637","1637","1637","-241.8616943359375","-241.8616943359375","-241.8616943359375"
"819","1639","1639","1639","-241.30599975585938","-241.30599975585938","-241.30599975585938"
