"epoch","18/04 13:01:40 - training only discriminator - _step","18/04 13:01:40 - training only discriminator - _step__MIN","18/04 13:01:40 - training only discriminator - _step__MAX","18/04 13:01:40 - training only discriminator - D_Loss","18/04 13:01:40 - training only discriminator - D_Loss__MIN","18/04 13:01:40 - training only discriminator - D_Loss__MAX"
"119","239","239","239","-225.71717834472656","-225.71717834472656","-225.71717834472656"
"120","241","241","241","-226.61032104492188","-226.61032104492188","-226.61032104492188"
"121","243","243","243","-226.03956604003906","-226.03956604003906","-226.03956604003906"
"122","245","245","245","-226.0026092529297","-226.0026092529297","-226.0026092529297"
"123","247","247","247","-226.49412536621094","-226.49412536621094","-226.49412536621094"
"124","249","249","249","-226.39695739746094","-226.39695739746094","-226.39695739746094"
"125","251","251","251","-226.5617218017578","-226.5617218017578","-226.5617218017578"
"126","253","253","253","-227.5347442626953","-227.5347442626953","-227.5347442626953"
"127","255","255","255","-226.3126220703125","-226.3126220703125","-226.3126220703125"
"128","257","257","257","-226.6611785888672","-226.6611785888672","-226.6611785888672"
"129","259","259","259","-226.58262634277344","-226.58262634277344","-226.58262634277344"
"130","261","261","261","-227.148681640625","-227.148681640625","-227.148681640625"
"131","263","263","263","-226.6895294189453","-226.6895294189453","-226.6895294189453"
"132","265","265","265","-226.80111694335938","-226.80111694335938","-226.80111694335938"
"133","267","267","267","-227.4664764404297","-227.4664764404297","-227.4664764404297"
"134","269","269","269","-227.5872039794922","-227.5872039794922","-227.5872039794922"
"135","271","271","271","-226.89772033691406","-226.89772033691406","-226.89772033691406"
"136","273","273","273","-227.45684814453125","-227.45684814453125","-227.45684814453125"
"137","275","275","275","-226.8761444091797","-226.8761444091797","-226.8761444091797"
"138","277","277","277","-227.60739135742188","-227.60739135742188","-227.60739135742188"
"139","279","279","279","-227.74172973632812","-227.74172973632812","-227.74172973632812"
"140","281","281","281","-227.53146362304688","-227.53146362304688","-227.53146362304688"
"141","283","283","283","-227.2576446533203","-227.2576446533203","-227.2576446533203"
"142","285","285","285","-228.0757293701172","-228.0757293701172","-228.0757293701172"
"143","287","287","287","-227.52008056640625","-227.52008056640625","-227.52008056640625"
"144","289","289","289","-227.68267822265625","-227.68267822265625","-227.68267822265625"
"145","291","291","291","-227.72528076171875","-227.72528076171875","-227.72528076171875"
"146","293","293","293","-228.79324340820312","-228.79324340820312","-228.79324340820312"
"147","295","295","295","-227.90322875976562","-227.90322875976562","-227.90322875976562"
"148","297","297","297","-228.32546997070312","-228.32546997070312","-228.32546997070312"
"149","299","299","299","-228.4910125732422","-228.4910125732422","-228.4910125732422"
"150","301","301","301","-228.67347717285156","-228.67347717285156","-228.67347717285156"
"151","303","303","303","-228.35963439941406","-228.35963439941406","-228.35963439941406"
"152","305","305","305","-228.7752685546875","-228.7752685546875","-228.7752685546875"
"153","307","307","307","-229.47903442382812","-229.47903442382812","-229.47903442382812"
"154","309","309","309","-228.86228942871094","-228.86228942871094","-228.86228942871094"
"155","311","311","311","-228.31072998046875","-228.31072998046875","-228.31072998046875"
"156","313","313","313","-228.568359375","-228.568359375","-228.568359375"
"157","315","315","315","-229.254150390625","-229.254150390625","-229.254150390625"
"158","317","317","317","-228.57469177246094","-228.57469177246094","-228.57469177246094"
"159","319","319","319","-228.7906036376953","-228.7906036376953","-228.7906036376953"
"160","321","321","321","-229.4803924560547","-229.4803924560547","-229.4803924560547"
"161","323","323","323","-229.72898864746094","-229.72898864746094","-229.72898864746094"
"162","325","325","325","-229.35853576660156","-229.35853576660156","-229.35853576660156"
"163","327","327","327","-228.83070373535156","-228.83070373535156","-228.83070373535156"
"164","329","329","329","-229.48709106445312","-229.48709106445312","-229.48709106445312"
"165","331","331","331","-229.5363311767578","-229.5363311767578","-229.5363311767578"
"166","333","333","333","-229.27760314941406","-229.27760314941406","-229.27760314941406"
"167","335","335","335","-229.41424560546875","-229.41424560546875","-229.41424560546875"
"168","337","337","337","-229.91708374023438","-229.91708374023438","-229.91708374023438"
"169","339","339","339","-229.29147338867188","-229.29147338867188","-229.29147338867188"
"170","341","341","341","-229.81248474121094","-229.81248474121094","-229.81248474121094"
"171","343","343","343","-229.01806640625","-229.01806640625","-229.01806640625"
"172","345","345","345","-229.23692321777344","-229.23692321777344","-229.23692321777344"
"173","347","347","347","-229.74180603027344","-229.74180603027344","-229.74180603027344"
"174","349","349","349","-229.59764099121094","-229.59764099121094","-229.59764099121094"
"175","351","351","351","-229.50067138671875","-229.50067138671875","-229.50067138671875"
"176","353","353","353","-230.5330047607422","-230.5330047607422","-230.5330047607422"
"177","355","355","355","-230.41542053222656","-230.41542053222656","-230.41542053222656"
"178","357","357","357","-229.67974853515625","-229.67974853515625","-229.67974853515625"
"179","359","359","359","-230.06591796875","-230.06591796875","-230.06591796875"
"180","361","361","361","-230.75767517089844","-230.75767517089844","-230.75767517089844"
"181","363","363","363","-230.2898712158203","-230.2898712158203","-230.2898712158203"
"182","365","365","365","-230.8480224609375","-230.8480224609375","-230.8480224609375"
"183","367","367","367","-230.9315948486328","-230.9315948486328","-230.9315948486328"
"184","369","369","369","-230.07359313964844","-230.07359313964844","-230.07359313964844"
"185","371","371","371","-229.96620178222656","-229.96620178222656","-229.96620178222656"
"186","373","373","373","-230.2024383544922","-230.2024383544922","-230.2024383544922"
"187","375","375","375","-230.4661102294922","-230.4661102294922","-230.4661102294922"
"188","377","377","377","-230.84132385253906","-230.84132385253906","-230.84132385253906"
"189","379","379","379","-231.01356506347656","-231.01356506347656","-231.01356506347656"
"190","381","381","381","-230.2794189453125","-230.2794189453125","-230.2794189453125"
"191","383","383","383","-230.4842071533203","-230.4842071533203","-230.4842071533203"
"192","385","385","385","-230.85528564453125","-230.85528564453125","-230.85528564453125"
"193","387","387","387","-230.6884765625","-230.6884765625","-230.6884765625"
"194","389","389","389","-230.48452758789062","-230.48452758789062","-230.48452758789062"
"195","391","391","391","-230.00762939453125","-230.00762939453125","-230.00762939453125"
"196","393","393","393","-230.74349975585938","-230.74349975585938","-230.74349975585938"
"197","395","395","395","-230.35987854003906","-230.35987854003906","-230.35987854003906"
"198","397","397","397","-230.70925903320312","-230.70925903320312","-230.70925903320312"
"199","399","399","399","-231.1937255859375","-231.1937255859375","-231.1937255859375"
"200","401","401","401","-230.96017456054688","-230.96017456054688","-230.96017456054688"
"201","403","403","403","-231.3015594482422","-231.3015594482422","-231.3015594482422"
"202","405","405","405","-230.63778686523438","-230.63778686523438","-230.63778686523438"
"203","407","407","407","-231.28848266601562","-231.28848266601562","-231.28848266601562"
"204","409","409","409","-230.56825256347656","-230.56825256347656","-230.56825256347656"
"205","411","411","411","-230.62957763671875","-230.62957763671875","-230.62957763671875"
"206","413","413","413","-230.86546325683594","-230.86546325683594","-230.86546325683594"
"207","415","415","415","-230.775390625","-230.775390625","-230.775390625"
"208","417","417","417","-231.0860137939453","-231.0860137939453","-231.0860137939453"
"209","419","419","419","-232.2235870361328","-232.2235870361328","-232.2235870361328"
"210","421","421","421","-231.9110107421875","-231.9110107421875","-231.9110107421875"
"211","423","423","423","-231.6213836669922","-231.6213836669922","-231.6213836669922"
"212","425","425","425","-231.84866333007812","-231.84866333007812","-231.84866333007812"
"213","427","427","427","-231.59913635253906","-231.59913635253906","-231.59913635253906"
"214","429","429","429","-231.24314880371094","-231.24314880371094","-231.24314880371094"
"215","431","431","431","-231.57797241210938","-231.57797241210938","-231.57797241210938"
"216","433","433","433","-232.2405548095703","-232.2405548095703","-232.2405548095703"
"217","435","435","435","-231.47373962402344","-231.47373962402344","-231.47373962402344"
"218","437","437","437","-233.0191650390625","-233.0191650390625","-233.0191650390625"
"219","439","439","439","-231.8140411376953","-231.8140411376953","-231.8140411376953"
"220","441","441","441","-231.7390594482422","-231.7390594482422","-231.7390594482422"
"221","443","443","443","-232.00445556640625","-232.00445556640625","-232.00445556640625"
"222","445","445","445","-231.89019775390625","-231.89019775390625","-231.89019775390625"
"223","447","447","447","-231.9742431640625","-231.9742431640625","-231.9742431640625"
"224","449","449","449","-232.09396362304688","-232.09396362304688","-232.09396362304688"
"225","451","451","451","-232.27439880371094","-232.27439880371094","-232.27439880371094"
"226","453","453","453","-231.97616577148438","-231.97616577148438","-231.97616577148438"
"227","455","455","455","-231.9735870361328","-231.9735870361328","-231.9735870361328"
"228","457","457","457","-231.78785705566406","-231.78785705566406","-231.78785705566406"
"229","459","459","459","-232.34706115722656","-232.34706115722656","-232.34706115722656"
"230","461","461","461","-232.2727508544922","-232.2727508544922","-232.2727508544922"
"231","463","463","463","-233.01898193359375","-233.01898193359375","-233.01898193359375"
"232","465","465","465","-232.37744140625","-232.37744140625","-232.37744140625"
"233","467","467","467","-232.72637939453125","-232.72637939453125","-232.72637939453125"
"234","469","469","469","-232.7817840576172","-232.7817840576172","-232.7817840576172"
"235","471","471","471","-232.91000366210938","-232.91000366210938","-232.91000366210938"
"236","473","473","473","-232.87734985351562","-232.87734985351562","-232.87734985351562"
"237","475","475","475","-232.5304718017578","-232.5304718017578","-232.5304718017578"
"238","477","477","477","-232.86134338378906","-232.86134338378906","-232.86134338378906"
"239","479","479","479","-232.24264526367188","-232.24264526367188","-232.24264526367188"
"240","481","481","481","-233.587158203125","-233.587158203125","-233.587158203125"
"241","483","483","483","-233.03785705566406","-233.03785705566406","-233.03785705566406"
"242","485","485","485","-233.43226623535156","-233.43226623535156","-233.43226623535156"
"243","487","487","487","-233.46629333496094","-233.46629333496094","-233.46629333496094"
"244","489","489","489","-233.7616424560547","-233.7616424560547","-233.7616424560547"
"245","491","491","491","-233.31924438476562","-233.31924438476562","-233.31924438476562"
"246","493","493","493","-233.19772338867188","-233.19772338867188","-233.19772338867188"
"247","495","495","495","-233.63290405273438","-233.63290405273438","-233.63290405273438"
"248","497","497","497","-233.49212646484375","-233.49212646484375","-233.49212646484375"
"249","499","499","499","-234.0092315673828","-234.0092315673828","-234.0092315673828"
"250","501","501","501","-233.46743774414062","-233.46743774414062","-233.46743774414062"
"251","503","503","503","-233.35406494140625","-233.35406494140625","-233.35406494140625"
"252","505","505","505","-233.18313598632812","-233.18313598632812","-233.18313598632812"
"253","507","507","507","-233.42645263671875","-233.42645263671875","-233.42645263671875"
"254","509","509","509","-233.59344482421875","-233.59344482421875","-233.59344482421875"
"255","511","511","511","-233.23936462402344","-233.23936462402344","-233.23936462402344"
"256","513","513","513","-233.6377716064453","-233.6377716064453","-233.6377716064453"
"257","515","515","515","-233.9077606201172","-233.9077606201172","-233.9077606201172"
"258","517","517","517","-233.67893981933594","-233.67893981933594","-233.67893981933594"
"259","519","519","519","-233.81617736816406","-233.81617736816406","-233.81617736816406"
"260","521","521","521","-233.52626037597656","-233.52626037597656","-233.52626037597656"
"261","523","523","523","-233.3326416015625","-233.3326416015625","-233.3326416015625"
"262","525","525","525","-233.6344451904297","-233.6344451904297","-233.6344451904297"
"263","527","527","527","-233.5041046142578","-233.5041046142578","-233.5041046142578"
"264","529","529","529","-233.7420196533203","-233.7420196533203","-233.7420196533203"
"265","531","531","531","-233.84814453125","-233.84814453125","-233.84814453125"
"266","533","533","533","-233.8538818359375","-233.8538818359375","-233.8538818359375"
"267","535","535","535","-233.7476806640625","-233.7476806640625","-233.7476806640625"
"268","537","537","537","-234.2183380126953","-234.2183380126953","-234.2183380126953"
"269","539","539","539","-233.93377685546875","-233.93377685546875","-233.93377685546875"
"270","541","541","541","-233.95068359375","-233.95068359375","-233.95068359375"
"271","543","543","543","-234.50784301757812","-234.50784301757812","-234.50784301757812"
"272","545","545","545","-234.33729553222656","-234.33729553222656","-234.33729553222656"
"273","547","547","547","-234.42286682128906","-234.42286682128906","-234.42286682128906"
"274","549","549","549","-234.03759765625","-234.03759765625","-234.03759765625"
"275","551","551","551","-234.40016174316406","-234.40016174316406","-234.40016174316406"
"276","553","553","553","-233.86561584472656","-233.86561584472656","-233.86561584472656"
"277","555","555","555","-234.38917541503906","-234.38917541503906","-234.38917541503906"
"278","557","557","557","-234.45184326171875","-234.45184326171875","-234.45184326171875"
"279","559","559","559","-234.11239624023438","-234.11239624023438","-234.11239624023438"
"280","561","561","561","-234.058349609375","-234.058349609375","-234.058349609375"
"281","563","563","563","-234.55538940429688","-234.55538940429688","-234.55538940429688"
"282","565","565","565","-234.38760375976562","-234.38760375976562","-234.38760375976562"
"283","567","567","567","-234.17689514160156","-234.17689514160156","-234.17689514160156"
"284","569","569","569","-234.53741455078125","-234.53741455078125","-234.53741455078125"
"285","571","571","571","-233.96458435058594","-233.96458435058594","-233.96458435058594"
"286","573","573","573","-234.43003845214844","-234.43003845214844","-234.43003845214844"
"287","575","575","575","-234.09878540039062","-234.09878540039062","-234.09878540039062"
"288","577","577","577","-234.35765075683594","-234.35765075683594","-234.35765075683594"
"289","579","579","579","-234.63031005859375","-234.63031005859375","-234.63031005859375"
"290","581","581","581","-234.31436157226562","-234.31436157226562","-234.31436157226562"
"291","583","583","583","-233.838623046875","-233.838623046875","-233.838623046875"
"292","585","585","585","-234.02658081054688","-234.02658081054688","-234.02658081054688"
"293","587","587","587","-235.15415954589844","-235.15415954589844","-235.15415954589844"
"294","589","589","589","-234.72372436523438","-234.72372436523438","-234.72372436523438"
"295","591","591","591","-234.62130737304688","-234.62130737304688","-234.62130737304688"
"296","593","593","593","-234.83154296875","-234.83154296875","-234.83154296875"
"297","595","595","595","-234.57232666015625","-234.57232666015625","-234.57232666015625"
"298","597","597","597","-234.34095764160156","-234.34095764160156","-234.34095764160156"
"299","599","599","599","-234.53561401367188","-234.53561401367188","-234.53561401367188"
"300","601","601","601","-235.04527282714844","-235.04527282714844","-235.04527282714844"
"301","603","603","603","-235.01480102539062","-235.01480102539062","-235.01480102539062"
"302","605","605","605","-234.5311279296875","-234.5311279296875","-234.5311279296875"
"303","607","607","607","-234.99107360839844","-234.99107360839844","-234.99107360839844"
"304","609","609","609","-235.2107696533203","-235.2107696533203","-235.2107696533203"
"305","611","611","611","-235.26141357421875","-235.26141357421875","-235.26141357421875"
"306","613","613","613","-234.86134338378906","-234.86134338378906","-234.86134338378906"
"307","615","615","615","-234.89395141601562","-234.89395141601562","-234.89395141601562"
"308","617","617","617","-234.98416137695312","-234.98416137695312","-234.98416137695312"
"309","619","619","619","-235.21043395996094","-235.21043395996094","-235.21043395996094"
"310","621","621","621","-234.90956115722656","-234.90956115722656","-234.90956115722656"
"311","623","623","623","-234.97897338867188","-234.97897338867188","-234.97897338867188"
"312","625","625","625","-235.21243286132812","-235.21243286132812","-235.21243286132812"
"313","627","627","627","-234.6688995361328","-234.6688995361328","-234.6688995361328"
"314","629","629","629","-235.2418975830078","-235.2418975830078","-235.2418975830078"
"315","631","631","631","-235.02928161621094","-235.02928161621094","-235.02928161621094"
"316","633","633","633","-235.4796600341797","-235.4796600341797","-235.4796600341797"
"317","635","635","635","-235.4922637939453","-235.4922637939453","-235.4922637939453"
"318","637","637","637","-235.43038940429688","-235.43038940429688","-235.43038940429688"
"319","639","639","639","-235.9744110107422","-235.9744110107422","-235.9744110107422"
"320","641","641","641","-235.9488525390625","-235.9488525390625","-235.9488525390625"
"321","643","643","643","-235.63502502441406","-235.63502502441406","-235.63502502441406"
"322","645","645","645","-235.45932006835938","-235.45932006835938","-235.45932006835938"
"323","647","647","647","-235.3991241455078","-235.3991241455078","-235.3991241455078"
"324","649","649","649","-235.47488403320312","-235.47488403320312","-235.47488403320312"
"325","651","651","651","-236.2550506591797","-236.2550506591797","-236.2550506591797"
"326","653","653","653","-236.2624969482422","-236.2624969482422","-236.2624969482422"
"327","655","655","655","-235.4455108642578","-235.4455108642578","-235.4455108642578"
"328","657","657","657","-235.3469696044922","-235.3469696044922","-235.3469696044922"
"329","659","659","659","-236.35247802734375","-236.35247802734375","-236.35247802734375"
